Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,47.18%,52.82%,2.38 : 1,2.58 : 1,54.71%,51.31%,"24,044","16,492",47.18%,52.82%,50.63%,49.82%,3.62%,1.98%,4.03%,1.30%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,53.20%,46.80%,2.62 : 1,2.65 : 1,53.96%,50.79%,"21,745","15,239",53.20%,46.80%,50.63%,51.15%,3.62%,1.95%,4.03%,3.81%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,45.51%,54.49%,2.38 : 1,2.39 : 1,55.27%,51.33%,"24,836","21,372",45.51%,54.49%,50.63%,52.54%,3.62%,3.97%,4.03%,4.28%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,54.14%,45.86%,2.61 : 1,2.23 : 1,54.35%,50.74%,"22,791","19,927",54.14%,45.86%,50.63%,51.17%,3.62%,5.34%,4.03%,6.01%
drmundo,53.15%,46.85%,2.54 : 1,2.59 : 1,53.88%,46.06%,"28,219","18,510",53.15%,46.85%,50.63%,49.09%,3.62%,1.62%,4.03%,15.10%
draven,,,,,,,,,,,,,,,,
ekko,46.22%,53.78%,2.42 : 1,2.87 : 1,54.28%,52.25%,"23,105","19,974",46.22%,53.78%,50.63%,51.56%,3.62%,6.36%,4.03%,4.77%
elise,47.18%,52.82%,2.19 : 1,2.96 : 1,55.09%,51.25%,"21,004","19,054",47.18%,52.82%,50.63%,50.83%,3.62%,3.31%,4.03%,5.59%
evelynn,44.30%,55.70%,2.35 : 1,2.74 : 1,53.79%,50.42%,"23,082","22,239",44.30%,55.70%,50.63%,51.06%,3.62%,2.68%,4.03%,3.74%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,50.70%,49.30%,2.53 : 1,2.71 : 1,55.02%,51.91%,"24,371","22,065",50.70%,49.30%,50.63%,52.25%,3.62%,3.05%,4.03%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,40.74%,59.26%,2.21 : 1,2.95 : 1,53.07%,49.46%,"23,322","20,364",40.74%,59.26%,50.63%,50.95%,3.62%,1.19%,4.03%,1.66%
graves,50.88%,49.12%,2.38 : 1,2.48 : 1,52.00%,50.85%,"22,359","21,031",50.88%,49.12%,50.63%,49.64%,3.62%,5.72%,4.03%,4.43%
gwen,48.28%,51.72%,2.49 : 1,2.56 : 1,53.24%,49.76%,"21,346","22,178",48.28%,51.72%,50.63%,50.83%,3.62%,1.25%,4.03%,8.42%
hecarim,53.48%,46.52%,2.42 : 1,2.67 : 1,53.51%,52.22%,"22,539","17,466",53.48%,46.52%,50.63%,49.79%,3.62%,4.29%,4.03%,4.64%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,46.40%,53.60%,2.09 : 1,3.78 : 1,49.64%,59.36%,"17,509","10,277",46.40%,53.60%,50.63%,51.99%,3.62%,1.45%,4.03%,0.83%
janna,,,,,,,,,,,,,,,,
