Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,52.49%,47.51%,48.61%,51.39%,2.00 : 1,1.92 : 1,42.06%,38.37%,"24,582","24,351","15'53""","16'21""",52.49%,47.51%,52.08%,49.96%,1.49%,10.05%,0.60%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,50.00%,50.00%,53.50%,46.50%,1.86 : 1,1.71 : 1,40.44%,37.00%,"25,402","25,204","15'1""","17'4""",50.00%,50.00%,52.08%,49.80%,1.49%,1.62%,0.60%,9.78%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,45.63%,54.37%,53.17%,46.83%,1.97 : 1,2.04 : 1,42.08%,39.95%,"22,471","24,838","15'29""","16'54""",45.63%,54.37%,52.08%,51.15%,1.49%,3.68%,0.60%,1.44%
cassiopeia,66.67%,33.33%,55.32%,44.68%,2.72 : 1,1.51 : 1,46.28%,40.64%,"22,521","21,950","12'54""","16'42""",66.67%,33.33%,52.08%,51.32%,1.49%,0.58%,0.60%,1.11%
chogath,49.06%,50.94%,62.83%,37.17%,2.25 : 1,1.72 : 1,43.95%,35.37%,"27,134","21,675","14'40""","16'45""",49.06%,50.94%,52.08%,51.78%,1.49%,3.22%,0.60%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,56.50%,43.50%,54.68%,45.32%,2.14 : 1,1.54 : 1,41.87%,36.60%,"23,304","23,523","15'21""","15'55""",56.50%,43.50%,52.08%,50.09%,1.49%,5.74%,0.60%,13.69%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,58.70%,41.30%,63.30%,36.70%,2.48 : 1,1.40 : 1,43.14%,32.48%,"34,998","24,719","14'30""","16'21""",58.70%,41.30%,52.08%,50.47%,1.49%,7.37%,0.60%,15.58%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,40.38%,59.62%,48.42%,51.58%,1.75 : 1,1.72 : 1,39.78%,36.17%,"21,426","24,774","16'15""","14'54""",40.38%,59.62%,52.08%,51.38%,1.49%,4.66%,0.60%,6.91%
fizz,,,,,,,,,,,,,,,,,,,,
galio,28.57%,71.43%,50.00%,50.00%,1.79 : 1,2.85 : 1,44.71%,46.68%,"29,828","23,086","16'12""","17'34""",28.57%,71.43%,52.08%,48.98%,1.49%,0.54%,0.60%,2.77%
gangplank,52.45%,47.55%,55.76%,44.24%,2.09 : 1,2.06 : 1,42.23%,43.40%,"24,291","26,150","15'38""","16'37""",52.45%,47.55%,52.08%,50.81%,1.49%,4.85%,0.60%,4.90%
garen,46.31%,53.69%,53.82%,46.18%,1.77 : 1,2.02 : 1,40.06%,36.86%,"23,672","23,989","14'58""","16'3""",46.31%,53.69%,52.08%,50.49%,1.49%,3.85%,0.60%,2.29%
gnar,53.04%,46.96%,53.83%,46.17%,1.90 : 1,2.02 : 1,40.15%,39.25%,"21,525","24,211","16'12""","16'24""",53.04%,46.96%,52.08%,49.44%,1.49%,3.22%,0.60%,0.95%
gragas,50.00%,50.00%,49.75%,50.25%,1.90 : 1,1.94 : 1,40.51%,36.73%,"23,399","22,977","15'35""","15'43""",50.00%,50.00%,52.08%,50.75%,1.49%,3.45%,0.60%,1.75%
graves,,,,,,,,,,,,,,,,,,,,
gwen,52.63%,47.37%,52.84%,47.16%,2.18 : 1,1.64 : 1,42.55%,37.35%,"22,039","24,555","15'4""","15'22""",52.63%,47.37%,52.08%,49.88%,1.49%,3.46%,0.60%,8.68%
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,42.31%,57.69%,51.38%,48.62%,1.84 : 1,1.88 : 1,39.61%,41.07%,"22,384","37,061","17'45""","14'54""",42.31%,57.69%,52.08%,52.81%,1.49%,0.99%,0.60%,1.19%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,59.32%,40.68%,47.03%,52.97%,2.09 : 1,1.53 : 1,42.45%,35.40%,"25,510","30,176","16'5""","14'51""",59.32%,40.68%,52.08%,49.41%,1.49%,1.69%,0.60%,2.88%
irelia,55.14%,44.86%,50.60%,49.40%,2.06 : 1,1.51 : 1,43.27%,38.56%,"20,997","22,472","15'44""","14'43""",55.14%,44.86%,52.08%,51.32%,1.49%,4.45%,0.60%,13.88%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,49.08%,50.92%,49.87%,50.13%,1.91 : 1,1.78 : 1,41.41%,36.25%,"21,251","22,680","15'37""","15'27""",49.08%,50.92%,52.08%,50.47%,1.49%,6.90%,0.60%,8.88%
jayce,59.86%,40.14%,56.42%,43.58%,2.23 : 1,1.74 : 1,42.88%,41.43%,"22,262","27,062","15'33""","15'47""",59.86%,40.14%,52.08%,48.96%,1.49%,5.01%,0.60%,8.00%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,,,,,
kayle,53.64%,46.36%,59.74%,40.26%,2.24 : 1,1.66 : 1,40.99%,39.52%,"22,018","21,747","14'55""","17'20""",53.64%,46.36%,52.08%,52.37%,1.49%,3.67%,0.60%,4.67%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,55.38%,44.62%,51.60%,48.40%,2.16 : 1,2.12 : 1,41.88%,41.54%,"22,757","28,253","16'23""","17'53""",55.38%,44.62%,52.08%,52.57%,1.49%,2.32%,0.60%,2.01%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,51.02%,48.98%,52.99%,47.01%,2.15 : 1,1.90 : 1,42.32%,37.09%,"23,076","20,688","15'46""","16'43""",51.02%,48.98%,52.08%,48.52%,1.49%,4.36%,0.60%,2.71%
leblanc,,,,,,,,,,,,,,,,,,,,
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,,,,,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,,,,,
malphite,54.90%,45.10%,50.10%,49.90%,2.12 : 1,2.46 : 1,42.04%,43.00%,"18,712","21,620","15'32""","16'32""",54.90%,45.10%,52.08%,52.33%,1.49%,4.64%,0.60%,8.58%
malzahar,,,,,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,53.47%,46.53%,52.89%,47.11%,1.96 : 1,1.75 : 1,42.21%,37.13%,"24,206","26,487","16'7""","16'44""",53.47%,46.53%,52.08%,51.91%,1.49%,5.23%,0.60%,5.97%
morgana,,,,,,,,,,,,,,,,,,,,
naafiri,,,,,,,,,,,,,,,,,,,,
nami,,,,,,,,,,,,,,,,,,,,
nasus,48.19%,51.81%,63.88%,36.12%,2.22 : 1,1.78 : 1,44.69%,36.36%,"27,573","22,843","14'44""","18'11""",48.19%,51.81%,52.08%,51.39%,1.49%,2.96%,0.60%,3.25%
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,,,,,,,,,,,,,,,,,,,,
nidalee,,,,,,,,,,,,,,,,,,,,
nilah,,,,,,,,,,,,,,,,,,,,
nocturne,,,,,,,,,,,,,,,,,,,,
nunu,,,,,,,,,,,,,,,,,,,,
olaf,42.86%,57.14%,57.83%,42.17%,2.22 : 1,1.61 : 1,47.64%,37.83%,"25,844","24,977","14'40""","15'58""",42.86%,57.14%,52.08%,52.52%,1.49%,1.69%,0.60%,1.38%
orianna,,,,,,,,,,,,,,,,,,,,
ornn,51.61%,48.39%,46.64%,53.36%,1.78 : 1,2.58 : 1,40.90%,42.92%,"24,286","21,756","15'31""","16'3""",51.61%,48.39%,52.08%,51.19%,1.49%,3.76%,0.60%,0.43%
pantheon,48.57%,51.43%,50.48%,49.52%,1.87 : 1,1.97 : 1,42.12%,40.65%,"22,590","25,796","15'16""","16'58""",48.57%,51.43%,52.08%,51.48%,1.49%,2.16%,0.60%,10.61%
poppy,47.17%,52.83%,45.83%,54.17%,1.78 : 1,2.08 : 1,38.38%,37.67%,"21,434","25,114","15'16""","16'10""",47.17%,52.83%,52.08%,51.63%,1.49%,1.38%,0.60%,6.58%
pyke,,,,,,,,,,,,,,,,,,,,
qiyana,,,,,,,,,,,,,,,,,,,,
quinn,39.62%,60.38%,53.00%,47.00%,1.92 : 1,2.25 : 1,41.69%,44.65%,"20,484","27,256","14'58""","18'19""",39.62%,60.38%,52.08%,53.61%,1.49%,1.87%,0.60%,1.85%
rakan,,,,,,,,,,,,,,,,,,,,
rammus,,,,,,,,,,,,,,,,,,,,
