Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,52.71%,47.29%,50.48%,49.52%,2.34 : 1,1.93 : 1,52.75%,46.24%,"29,649","25,100","15'33""","15'26""",52.71%,47.29%,53.41%,50.11%,1.76%,8.80%,0.56%,3.15%
ashe,55.51%,44.49%,50.75%,49.25%,2.37 : 1,2.20 : 1,51.07%,49.88%,"31,610","22,338","16'39""","16'13""",55.51%,44.49%,53.41%,50.73%,1.76%,5.78%,0.56%,1.52%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,51.56%,48.44%,47.79%,52.21%,2.18 : 1,2.27 : 1,49.57%,47.48%,"29,988","24,978","16'12""","15'7""",51.56%,48.44%,53.41%,49.89%,1.76%,11.06%,0.56%,12.88%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,60.81%,39.19%,48.04%,51.96%,2.35 : 1,2.32 : 1,54.39%,50.08%,"35,448","27,994","16'6""","15'48""",60.81%,39.19%,53.41%,49.51%,1.76%,2.33%,0.56%,0.52%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,58.00%,42.00%,47.48%,52.52%,2.19 : 1,2.03 : 1,51.63%,48.32%,"29,602","25,039","16'36""","15'9""",58.00%,42.00%,53.41%,49.66%,1.76%,4.13%,0.56%,18.98%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,54.64%,45.36%,45.80%,54.20%,2.09 : 1,2.52 : 1,48.45%,47.97%,"30,815","26,877","16'22""","15'31""",54.64%,45.36%,53.41%,48.37%,1.76%,13.71%,0.56%,4.98%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,44.19%,55.81%,36.77%,63.23%,1.95 : 1,2.99 : 1,48.52%,52.83%,"31,211","30,137","15'59""","15'34""",44.19%,55.81%,53.41%,52.18%,1.76%,0.91%,0.56%,3.20%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
