Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,51.99%,48.01%,55.91%,44.09%,2.06 : 1,1.69 : 1,37.35%,35.13%,"21,794","21,991","17'1""","17'51""",51.99%,48.01%,48.52%,49.96%,4.36%,10.05%,2.71%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,41.10%,58.90%,50.13%,49.87%,1.88 : 1,2.13 : 1,34.61%,35.11%,"18,871","22,811","17'36""","18'36""",41.10%,58.90%,48.52%,49.80%,4.36%,1.62%,2.71%,9.78%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,46.25%,53.75%,54.77%,45.23%,2.07 : 1,1.84 : 1,38.90%,37.27%,"20,313","23,938","16'38""","17'54""",46.25%,53.75%,48.52%,51.15%,4.36%,3.68%,2.71%,1.44%
cassiopeia,44.07%,55.93%,52.97%,47.03%,1.80 : 1,1.99 : 1,37.84%,42.15%,"17,534","24,962","17'47""","17'27""",44.07%,55.93%,48.52%,51.32%,4.36%,0.58%,2.71%,1.11%
chogath,45.49%,54.51%,59.02%,40.98%,2.13 : 1,1.77 : 1,38.76%,36.88%,"26,326","22,107","16'45""","17'3""",45.49%,54.51%,48.52%,51.78%,4.36%,3.22%,2.71%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,48.19%,51.81%,58.02%,41.98%,2.15 : 1,1.51 : 1,38.10%,32.98%,"18,752","21,049","16'49""","17'22""",48.19%,51.81%,48.52%,50.09%,4.36%,5.74%,2.71%,13.69%
diana,,,,,,,,,,,,,,,,,,,,
