Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,48.44%,51.56%,61.17%,38.83%,2.81 : 1,2.13 : 1,46.26%,43.61%,"23,733","21,459","18'15""","17'22""",48.44%,51.56%,50.69%,49.46%,5.23%,7.96%,21.82%,2.83%
akali,50.06%,49.94%,58.02%,41.98%,2.64 : 1,2.00 : 1,45.47%,41.83%,"24,443","22,971","17'39""","18'56""",50.06%,49.94%,50.69%,50.92%,5.23%,6.65%,21.82%,10.14%
akshan,44.77%,55.23%,57.70%,42.30%,2.54 : 1,2.18 : 1,44.77%,47.25%,"22,635","24,922","18'11""","16'33""",44.77%,55.23%,50.69%,52.49%,5.23%,2.44%,21.82%,3.50%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,47.60%,52.40%,57.12%,42.88%,2.74 : 1,2.28 : 1,47.04%,43.07%,"26,781","21,059","18'9""","16'32""",47.60%,52.40%,50.69%,52.45%,5.23%,2.22%,21.82%,1.84%
annie,51.81%,48.19%,66.49%,33.51%,3.02 : 1,1.77 : 1,47.16%,44.97%,"23,838","23,893","17'10""","18'57""",51.81%,48.19%,50.69%,51.88%,5.23%,2.78%,21.82%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,53.15%,46.85%,69.85%,30.15%,3.28 : 1,2.12 : 1,46.98%,47.55%,"26,676","24,112","17'13""","19'21""",53.15%,46.85%,50.69%,51.05%,5.23%,2.10%,21.82%,0.64%
azir,50.43%,49.57%,68.99%,31.01%,3.37 : 1,1.61 : 1,47.40%,37.91%,"26,064","22,280","17'20""","17'14""",50.43%,49.57%,50.69%,47.24%,5.23%,2.76%,21.82%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,51.92%,48.08%,65.53%,34.47%,3.16 : 1,1.74 : 1,48.19%,42.51%,"25,279","22,786","17'15""","18'16""",51.92%,48.08%,50.69%,51.16%,5.23%,1.25%,21.82%,1.23%
chogath,55.00%,45.00%,70.27%,29.73%,3.53 : 1,1.77 : 1,47.72%,40.36%,"29,581","21,710","18'11""","16'12""",55.00%,45.00%,50.69%,50.66%,5.23%,0.65%,21.82%,0.89%
corki,52.94%,47.06%,63.34%,36.66%,2.87 : 1,1.95 : 1,45.72%,45.09%,"23,921","27,099","18'26""","16'14""",52.94%,47.06%,50.69%,45.47%,5.23%,0.93%,21.82%,0.48%
darius,,,,,,,,,,,,,,,,,,,,
diana,51.64%,48.36%,57.58%,42.42%,2.70 : 1,1.77 : 1,45.94%,43.79%,"22,119","24,074","18'16""","15'0""",51.64%,48.36%,50.69%,51.75%,5.23%,4.20%,21.82%,5.97%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,52.02%,47.98%,64.91%,35.09%,3.22 : 1,1.72 : 1,47.65%,41.05%,"26,090","21,103","18'10""","16'45""",52.02%,47.98%,50.69%,50.97%,5.23%,3.17%,21.82%,4.71%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,52.47%,47.53%,56.75%,43.25%,2.65 : 1,1.93 : 1,45.81%,43.25%,"24,418","21,885","17'4""","16'23""",52.47%,47.53%,50.69%,50.29%,5.23%,2.69%,21.82%,3.03%
galio,46.92%,53.08%,65.19%,34.81%,3.09 : 1,2.45 : 1,47.16%,47.10%,"21,888","17,659","18'34""","18'59""",46.92%,53.08%,50.69%,51.23%,5.23%,4.51%,21.82%,3.30%
gangplank,40.98%,59.02%,56.39%,43.61%,2.58 : 1,2.56 : 1,47.59%,47.03%,"26,688","28,731","19'10""","17'6""",40.98%,59.02%,50.69%,51.97%,5.23%,0.57%,21.82%,4.52%
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,50.72%,49.28%,58.43%,41.57%,2.63 : 1,2.11 : 1,47.92%,41.53%,"23,595","22,184","18'32""","17'41""",50.72%,49.28%,50.69%,50.99%,5.23%,0.74%,21.82%,1.57%
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,52.41%,47.59%,64.13%,35.87%,3.04 : 1,2.03 : 1,46.35%,44.14%,"24,317","24,568","18'57""","16'58""",52.41%,47.59%,50.69%,50.40%,5.23%,5.58%,21.82%,3.56%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,46.03%,53.97%,64.54%,35.46%,3.02 : 1,1.49 : 1,48.03%,39.97%,"25,095","22,626","17'54""","15'6""",46.03%,53.97%,50.69%,49.49%,5.23%,2.64%,21.82%,13.75%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,46.88%,53.13%,65.89%,34.11%,3.16 : 1,1.69 : 1,47.54%,40.99%,"23,440","22,599","18'15""","16'31""",46.88%,53.13%,50.69%,48.83%,5.23%,0.93%,21.82%,7.79%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,48.61%,51.39%,63.10%,36.90%,3.01 : 1,2.01 : 1,46.19%,41.38%,"24,371","22,137","17'2""","17'56""",48.61%,51.39%,50.69%,50.44%,5.23%,2.48%,21.82%,2.50%
katarina,50.76%,49.24%,55.01%,44.99%,2.53 : 1,2.09 : 1,45.67%,48.31%,"24,030","25,067","17'2""","17'25""",50.76%,49.24%,50.69%,51.65%,5.23%,5.89%,21.82%,6.83%
kayle,49.01%,50.99%,69.67%,30.33%,3.36 : 1,1.56 : 1,47.07%,37.38%,"26,817","19,374","16'15""","19'12""",49.01%,50.99%,50.69%,52.34%,5.23%,1.62%,21.82%,4.54%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,43.09%,56.91%,59.32%,40.68%,2.56 : 1,2.01 : 1,45.43%,40.91%,"23,492","24,626","16'29""","16'56""",43.09%,56.91%,50.69%,52.38%,5.23%,1.03%,21.82%,1.93%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,,,,,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,,,,,
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,45.47%,54.53%,58.19%,41.81%,2.62 : 1,2.04 : 1,47.24%,45.13%,"24,337","21,343","17'55""","16'54""",45.47%,54.53%,50.69%,51.95%,5.23%,3.20%,21.82%,1.48%
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,48.92%,51.08%,57.50%,42.50%,2.59 : 1,2.24 : 1,46.31%,46.52%,"23,809","22,148","18'38""","16'48""",48.92%,51.08%,50.69%,51.21%,5.23%,4.00%,21.82%,3.15%
malphite,48.33%,51.67%,66.32%,33.68%,3.03 : 1,2.03 : 1,48.53%,41.29%,"23,350","21,047","16'54""","16'47""",48.33%,51.67%,50.69%,52.87%,5.23%,0.79%,21.82%,7.89%
