Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,49.37%,50.63%,2.91 : 1,2.36 : 1,55.64%,50.87%,"19,369","17,071",49.37%,50.63%,50.87%,49.82%,16.49%,1.98%,20.33%,1.30%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,48.29%,51.71%,2.96 : 1,2.67 : 1,55.67%,52.21%,"17,660","15,999",48.29%,51.71%,50.87%,51.15%,16.49%,1.95%,20.33%,3.81%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,46.91%,53.09%,2.90 : 1,2.37 : 1,55.95%,54.36%,"19,389","22,403",46.91%,53.09%,50.87%,52.54%,16.49%,3.97%,20.33%,4.28%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,48.31%,51.69%,3.06 : 1,2.43 : 1,56.35%,53.56%,"18,708","21,503",48.31%,51.69%,50.87%,51.17%,16.49%,5.34%,20.33%,6.01%
drmundo,51.54%,48.46%,3.22 : 1,2.66 : 1,56.86%,49.60%,"21,589","20,222",51.54%,48.46%,50.87%,49.09%,16.49%,1.62%,20.33%,15.10%
draven,,,,,,,,,,,,,,,,
ekko,52.79%,47.21%,3.08 : 1,2.70 : 1,56.23%,54.47%,"19,374","20,506",52.79%,47.21%,50.87%,51.56%,16.49%,6.36%,20.33%,4.77%
elise,49.25%,50.75%,2.80 : 1,2.77 : 1,56.23%,53.83%,"16,872","19,396",49.25%,50.75%,50.87%,50.83%,16.49%,3.31%,20.33%,5.59%
evelynn,49.83%,50.17%,2.85 : 1,2.86 : 1,54.52%,53.19%,"18,653","21,863",49.83%,50.17%,50.87%,51.06%,16.49%,2.68%,20.33%,3.74%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,48.38%,51.62%,2.91 : 1,2.76 : 1,55.87%,52.85%,"18,835","20,550",48.38%,51.62%,50.87%,52.25%,16.49%,3.05%,20.33%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,52.65%,47.35%,3.01 : 1,2.71 : 1,56.20%,52.71%,"18,660","20,806",52.65%,47.35%,50.87%,50.95%,16.49%,1.19%,20.33%,1.66%
graves,51.81%,48.19%,2.91 : 1,2.46 : 1,53.92%,52.68%,"18,110","22,047",51.81%,48.19%,50.87%,49.64%,16.49%,5.72%,20.33%,4.43%
gwen,48.56%,51.44%,3.27 : 1,2.46 : 1,57.01%,50.63%,"18,767","21,695",48.56%,51.44%,50.87%,50.83%,16.49%,1.25%,20.33%,8.42%
hecarim,51.81%,48.19%,2.96 : 1,2.73 : 1,56.06%,54.50%,"19,100","19,294",51.81%,48.19%,50.87%,49.79%,16.49%,4.29%,20.33%,4.64%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,50.20%,49.80%,2.86 : 1,3.70 : 1,55.17%,61.73%,"17,018","11,678",50.20%,49.80%,50.87%,51.99%,16.49%,1.45%,20.33%,0.83%
janna,,,,,,,,,,,,,,,,
