Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,48.72%,51.28%,51.26%,48.74%,2.54 : 1,2.67 : 1,55.73%,59.49%,48.72%,51.28%,51.29%,51.08%,5.79%,6.23%,4.52%,2.63%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,41.82%,58.18%,48.28%,51.72%,2.44 : 1,2.84 : 1,54.32%,54.74%,41.82%,58.18%,51.29%,45.23%,5.79%,0.56%,4.52%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,47.19%,52.81%,46.39%,53.61%,2.41 : 1,3.20 : 1,53.26%,61.00%,47.19%,52.81%,51.29%,51.11%,5.79%,5.51%,4.52%,1.53%
belveth,,,,,,,,,,,,,,,,
blitzcrank,52.82%,47.18%,50.60%,49.40%,2.56 : 1,2.42 : 1,56.13%,55.20%,52.82%,47.18%,51.29%,50.70%,5.79%,4.94%,4.52%,12.55%
brand,57.69%,42.31%,55.27%,44.73%,2.74 : 1,1.86 : 1,52.16%,51.67%,57.69%,42.31%,51.29%,48.82%,5.79%,1.45%,4.52%,1.10%
braum,48.93%,51.07%,46.39%,53.61%,2.39 : 1,3.10 : 1,55.54%,61.58%,48.93%,51.07%,51.29%,52.46%,5.79%,8.00%,4.52%,14.39%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,53.72%,46.28%,47.96%,52.04%,2.57 : 1,2.11 : 1,55.76%,53.89%,53.72%,46.28%,51.29%,52.56%,5.79%,1.60%,4.52%,5.38%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,51.35%,48.65%,50.98%,49.02%,2.66 : 1,2.21 : 1,54.66%,53.59%,51.35%,48.65%,51.29%,51.17%,5.79%,1.01%,4.52%,3.03%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,42.68%,57.32%,51.46%,48.54%,2.40 : 1,2.95 : 1,56.76%,59.02%,42.68%,57.32%,51.29%,50.89%,5.79%,0.60%,4.52%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,47.42%,52.58%,55.22%,44.78%,2.69 : 1,2.19 : 1,53.04%,53.38%,47.42%,52.58%,51.29%,49.06%,5.79%,0.76%,4.52%,3.25%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,48.10%,51.90%,47.42%,52.58%,2.62 : 1,3.25 : 1,54.23%,60.93%,48.10%,51.90%,51.29%,52.38%,5.79%,4.90%,4.52%,1.62%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,51.23%,48.77%,46.98%,53.02%,2.43 : 1,2.74 : 1,53.07%,58.42%,51.23%,48.77%,51.29%,50.08%,5.79%,9.40%,4.52%,5.32%
