Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,51.27%,48.73%,3.01 : 1,2.32 : 1,53.37%,48.12%,"23,946","17,328",51.27%,48.73%,49.36%,49.82%,3.14%,1.98%,2.79%,1.30%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,47.06%,52.94%,3.27 : 1,2.68 : 1,53.90%,51.63%,"20,351","16,350",47.06%,52.94%,49.36%,51.15%,3.14%,1.95%,2.79%,3.81%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,47.45%,52.55%,2.72 : 1,2.41 : 1,52.58%,52.44%,"23,334","24,617",47.45%,52.55%,49.36%,52.54%,3.14%,3.97%,2.79%,4.28%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,47.78%,52.22%,3.01 : 1,2.48 : 1,51.94%,51.84%,"21,878","23,599",47.78%,52.22%,49.36%,51.17%,3.14%,5.34%,2.79%,6.01%
drmundo,51.45%,48.55%,3.23 : 1,2.79 : 1,54.16%,46.66%,"28,863","21,285",51.45%,48.55%,49.36%,49.09%,3.14%,1.62%,2.79%,15.10%
draven,,,,,,,,,,,,,,,,
ekko,41.78%,58.22%,2.61 : 1,2.97 : 1,51.47%,51.87%,"21,693","22,018",41.78%,58.22%,49.36%,51.56%,3.14%,6.36%,2.79%,4.77%
elise,47.80%,52.20%,2.78 : 1,2.75 : 1,51.26%,52.40%,"20,901","21,506",47.80%,52.20%,49.36%,50.83%,3.14%,3.31%,2.79%,5.59%
evelynn,52.44%,47.56%,2.90 : 1,2.83 : 1,51.09%,53.15%,"22,085","24,062",52.44%,47.56%,49.36%,51.06%,3.14%,2.68%,2.79%,3.74%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,47.95%,52.05%,2.77 : 1,2.97 : 1,51.65%,52.19%,"23,733","23,319",47.95%,52.05%,49.36%,52.25%,3.14%,3.05%,2.79%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,39.47%,60.53%,2.73 : 1,2.86 : 1,52.62%,47.29%,"20,383","19,101",39.47%,60.53%,49.36%,50.95%,3.14%,1.19%,2.79%,1.66%
graves,48.25%,51.75%,2.77 : 1,2.72 : 1,50.15%,52.77%,"21,000","23,770",48.25%,51.75%,49.36%,49.64%,3.14%,5.72%,2.79%,4.43%
gwen,40.20%,59.80%,2.68 : 1,2.64 : 1,50.30%,49.28%,"22,029","25,163",40.20%,59.80%,49.36%,50.83%,3.14%,1.25%,2.79%,8.42%
hecarim,50.38%,49.62%,2.79 : 1,2.83 : 1,52.36%,53.92%,"21,966","21,338",50.38%,49.62%,49.36%,49.79%,3.14%,4.29%,2.79%,4.64%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,38.24%,61.76%,2.65 : 1,4.35 : 1,53.50%,60.48%,"20,354","11,577",38.24%,61.76%,49.36%,51.99%,3.14%,1.45%,2.79%,0.83%
janna,,,,,,,,,,,,,,,,
