Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,53.29%,46.71%,52.44%,47.56%,2.46 : 1,2.48 : 1,46.74%,47.51%,"22,205","23,824","17'36""","17'57""",53.29%,46.71%,51.95%,49.46%,3.20%,7.96%,1.48%,2.83%
akali,53.77%,46.23%,53.21%,46.79%,2.35 : 1,2.22 : 1,46.16%,43.38%,"22,310","23,091","17'10""","18'13""",53.77%,46.23%,51.95%,50.92%,3.20%,6.65%,1.48%,10.14%
akshan,50.29%,49.71%,55.70%,44.30%,2.48 : 1,2.19 : 1,46.49%,48.05%,"21,078","24,247","16'54""","17'43""",50.29%,49.71%,51.95%,52.49%,3.20%,2.44%,1.48%,3.50%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,49.32%,50.68%,42.05%,57.95%,2.11 : 1,2.71 : 1,44.80%,45.96%,"23,615","23,291","17'38""","17'3""",49.32%,50.68%,51.95%,52.45%,3.20%,2.22%,1.48%,1.84%
annie,45.30%,54.70%,53.45%,46.55%,2.11 : 1,2.25 : 1,44.95%,48.47%,"20,165","25,319","16'54""","18'21""",45.30%,54.70%,51.95%,51.88%,3.20%,2.78%,1.48%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,59.26%,40.74%,61.39%,38.61%,2.71 : 1,2.45 : 1,47.30%,51.72%,"23,884","26,073","16'56""","19'15""",59.26%,40.74%,51.95%,51.05%,3.20%,2.10%,1.48%,0.64%
azir,58.22%,41.78%,58.70%,41.30%,2.76 : 1,1.93 : 1,45.57%,41.89%,"21,811","26,226","17'36""","17'4""",58.22%,41.78%,51.95%,47.24%,3.20%,2.76%,1.48%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
