Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,51.47%,48.53%,56.18%,43.82%,2.59 : 1,1.89 : 1,50.26%,45.35%,"23,639","23,612","15'11""","15'18""",51.47%,48.53%,51.39%,50.11%,16.79%,8.80%,19.99%,3.15%
ashe,49.67%,50.33%,54.81%,45.19%,2.42 : 1,2.17 : 1,49.24%,49.06%,"24,444","21,118","15'20""","15'57""",49.67%,50.33%,51.37%,50.73%,16.77%,5.78%,19.92%,1.52%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,51.34%,48.66%,55.48%,44.52%,2.55 : 1,1.99 : 1,48.66%,45.17%,"24,534","23,013","15'33""","14'50""",51.34%,48.66%,51.39%,49.88%,16.79%,11.07%,19.99%,12.90%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,51.77%,48.23%,50.63%,49.37%,2.46 : 1,2.41 : 1,49.91%,49.43%,"25,105","24,632","15'37""","15'8""",51.77%,48.23%,51.37%,49.51%,16.77%,2.33%,19.92%,0.52%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,50.44%,49.56%,53.86%,46.14%,2.44 : 1,1.97 : 1,50.61%,47.71%,"23,361","23,089","15'29""","14'51""",50.44%,49.56%,51.37%,49.67%,16.77%,4.13%,19.92%,19.02%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,52.99%,47.01%,51.24%,48.76%,2.48 : 1,2.37 : 1,48.74%,47.20%,"25,084","25,470","15'21""","15'28""",52.99%,47.01%,51.37%,48.37%,16.77%,13.71%,19.92%,4.98%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,47.95%,52.05%,52.86%,47.14%,2.40 : 1,2.49 : 1,47.59%,48.19%,"23,836","24,951","16'13""","15'16""",47.95%,52.05%,51.37%,52.18%,16.77%,0.92%,19.92%,3.20%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
