Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,48.64%,51.36%,54.38%,45.62%,3.25 : 1,2.69 : 1,60.96%,56.28%,48.64%,51.36%,51.34%,51.08%,13.11%,6.23%,21.14%,2.63%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,51.23%,48.77%,64.01%,35.99%,3.28 : 1,2.30 : 1,56.98%,50.26%,51.23%,48.77%,51.34%,45.21%,13.11%,0.56%,21.14%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,50.38%,49.62%,52.07%,47.93%,3.21 : 1,3.23 : 1,58.71%,58.65%,50.38%,49.62%,51.34%,51.13%,13.11%,5.51%,21.14%,1.53%
belveth,,,,,,,,,,,,,,,,
blitzcrank,49.89%,50.11%,52.76%,47.24%,3.12 : 1,2.64 : 1,59.46%,53.11%,49.89%,50.11%,51.34%,50.72%,13.11%,4.93%,21.14%,12.54%
brand,52.74%,47.26%,63.62%,36.38%,3.67 : 1,1.79 : 1,58.41%,47.19%,52.74%,47.26%,51.34%,48.86%,13.11%,1.45%,21.14%,1.11%
braum,45.97%,54.03%,50.78%,49.22%,3.17 : 1,3.12 : 1,60.14%,58.06%,45.97%,54.03%,51.34%,52.43%,13.11%,8.00%,21.14%,14.36%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,49.48%,50.52%,55.96%,44.04%,3.31 : 1,2.10 : 1,59.74%,51.85%,49.48%,50.52%,51.34%,52.54%,13.11%,1.60%,21.14%,5.37%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,47.20%,52.80%,56.45%,43.55%,3.06 : 1,2.39 : 1,58.61%,51.81%,47.20%,52.80%,51.34%,51.12%,13.11%,1.01%,21.14%,3.04%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,53.06%,46.94%,57.97%,42.03%,3.71 : 1,2.49 : 1,60.25%,53.92%,53.06%,46.94%,51.34%,50.98%,13.11%,0.60%,21.14%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,49.39%,50.61%,58.14%,41.86%,3.31 : 1,2.45 : 1,55.87%,51.47%,49.39%,50.61%,51.34%,48.99%,13.11%,0.76%,21.14%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,49.86%,50.14%,50.94%,49.06%,3.31 : 1,3.47 : 1,58.31%,59.35%,49.86%,50.14%,51.34%,52.37%,13.11%,4.91%,21.14%,1.62%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,50.97%,49.03%,51.30%,48.70%,3.29 : 1,2.87 : 1,58.20%,55.94%,50.97%,49.03%,51.34%,50.07%,13.11%,9.39%,21.14%,5.32%
