Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,50.34%,49.66%,53.44%,46.56%,2.67 : 1,2.57 : 1,56.03%,54.85%,50.34%,49.66%,49.10%,51.08%,4.82%,6.23%,3.16%,2.63%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,49.38%,50.62%,53.69%,46.31%,2.38 : 1,2.33 : 1,49.20%,50.82%,49.38%,50.62%,49.10%,45.21%,4.82%,0.56%,3.16%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,46.09%,53.91%,47.18%,52.82%,2.35 : 1,2.95 : 1,53.14%,55.85%,46.09%,53.91%,49.10%,51.13%,4.82%,5.51%,3.16%,1.53%
belveth,,,,,,,,,,,,,,,,
blitzcrank,49.42%,50.58%,48.27%,51.73%,2.35 : 1,2.52 : 1,54.12%,51.36%,49.42%,50.58%,49.10%,50.72%,4.82%,4.93%,3.16%,12.54%
brand,55.92%,44.08%,58.47%,41.53%,2.65 : 1,1.80 : 1,51.46%,44.53%,55.92%,44.08%,49.10%,48.86%,4.82%,1.45%,3.16%,1.11%
braum,46.56%,53.44%,47.47%,52.53%,2.54 : 1,2.97 : 1,55.43%,56.42%,46.56%,53.44%,49.10%,52.43%,4.82%,8.00%,3.16%,14.36%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,42.86%,57.14%,48.52%,51.48%,2.14 : 1,2.37 : 1,53.54%,49.34%,42.86%,57.14%,49.10%,52.54%,4.82%,1.60%,3.16%,5.37%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,57.14%,42.86%,58.85%,41.15%,2.62 : 1,1.77 : 1,52.83%,46.72%,57.14%,42.86%,49.10%,51.12%,4.82%,1.01%,3.16%,3.04%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,32.69%,67.31%,53.14%,46.86%,2.18 : 1,3.06 : 1,54.70%,56.26%,32.69%,67.31%,49.10%,50.98%,4.82%,0.60%,3.16%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,50.00%,50.00%,51.58%,48.42%,2.36 : 1,2.31 : 1,50.75%,49.43%,50.00%,50.00%,49.10%,48.99%,4.82%,0.76%,3.16%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,48.32%,51.68%,45.95%,54.05%,2.44 : 1,3.21 : 1,52.39%,57.19%,48.32%,51.68%,49.10%,52.37%,4.82%,4.91%,3.16%,1.62%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,49.57%,50.43%,47.80%,52.20%,2.42 : 1,2.76 : 1,51.88%,53.47%,49.57%,50.43%,49.10%,50.07%,4.82%,9.39%,3.16%,5.32%
