Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,52.25%,47.75%,56.31%,43.69%,2.49 : 1,1.72 : 1,40.44%,34.87%,"21,909","20,337","17'36""","17'4""",52.25%,47.75%,52.33%,49.91%,4.65%,10.04%,8.59%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,48.61%,51.39%,50.00%,50.00%,2.15 : 1,2.08 : 1,39.38%,37.76%,"20,906","24,725","17'33""","18'19""",48.61%,51.39%,52.33%,49.71%,4.65%,1.62%,8.59%,9.79%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,48.23%,51.77%,53.52%,46.48%,2.31 : 1,1.80 : 1,38.95%,35.75%,"21,419","21,408","16'55""","17'7""",48.23%,51.77%,52.33%,51.16%,4.65%,3.69%,8.59%,1.44%
cassiopeia,49.12%,50.88%,54.97%,45.03%,2.64 : 1,1.74 : 1,41.40%,37.77%,"18,046","23,529","17'44""","17'35""",49.12%,50.88%,52.33%,51.32%,4.65%,0.58%,8.59%,1.11%
chogath,41.29%,58.71%,56.87%,43.13%,2.43 : 1,2.09 : 1,41.45%,39.54%,"23,712","25,201","18'0""","15'54""",41.29%,58.71%,52.33%,51.79%,4.65%,3.23%,8.59%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,51.42%,48.58%,55.13%,44.87%,2.34 : 1,1.61 : 1,39.71%,34.83%,"20,891","19,666","17'7""","16'32""",51.42%,48.58%,52.33%,50.09%,4.65%,5.74%,8.59%,13.71%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,45.78%,54.22%,56.68%,43.32%,2.66 : 1,1.85 : 1,38.23%,33.90%,"26,204","26,611","18'21""","14'49""",45.78%,54.22%,52.33%,50.47%,4.65%,7.37%,8.59%,15.62%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,50.20%,49.80%,59.25%,40.75%,2.59 : 1,1.37 : 1,40.19%,31.27%,"22,447","19,900","17'33""","16'1""",50.20%,49.80%,52.33%,51.40%,4.65%,4.67%,8.59%,6.92%
fizz,,,,,,,,,,,,,,,,,,,,
galio,42.03%,57.97%,50.00%,50.00%,2.06 : 1,2.79 : 1,39.43%,45.23%,"18,477","21,286","18'12""","17'41""",42.03%,57.97%,52.33%,48.97%,4.65%,0.54%,8.59%,2.78%
gangplank,51.08%,48.92%,59.53%,40.47%,2.47 : 1,2.10 : 1,39.19%,41.63%,"21,821","23,864","17'43""","16'47""",51.08%,48.92%,52.33%,50.78%,4.65%,4.85%,8.59%,4.88%
garen,58.52%,41.48%,56.83%,43.17%,2.62 : 1,1.59 : 1,39.56%,33.30%,"22,071","19,858","17'50""","16'13""",58.52%,41.48%,52.33%,50.53%,4.65%,3.86%,8.59%,2.30%
gnar,56.24%,43.76%,63.90%,36.10%,2.65 : 1,1.56 : 1,39.98%,33.90%,"21,272","18,912","17'11""","17'19""",56.24%,43.76%,52.33%,49.44%,4.65%,3.21%,8.59%,0.95%
gragas,50.16%,49.84%,49.48%,50.52%,2.30 : 1,2.14 : 1,39.47%,37.51%,"21,833","22,119","17'48""","16'43""",50.16%,49.84%,52.33%,50.75%,4.65%,3.45%,8.59%,1.75%
graves,,,,,,,,,,,,,,,,,,,,
gwen,51.37%,48.63%,57.22%,42.78%,2.55 : 1,1.38 : 1,40.11%,32.83%,"20,488","23,540","17'43""","16'13""",51.37%,48.63%,52.33%,49.93%,4.65%,3.47%,8.59%,8.68%
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,41.41%,58.59%,61.98%,38.02%,2.23 : 1,1.59 : 1,40.15%,33.60%,"17,559","28,204","18'18""","15'20""",41.41%,58.59%,52.33%,52.74%,4.65%,0.99%,8.59%,1.18%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,52.14%,47.86%,59.18%,40.82%,2.73 : 1,1.39 : 1,38.78%,30.78%,"23,113","25,008","19'1""","15'26""",52.14%,47.86%,52.33%,49.39%,4.65%,1.69%,8.59%,2.88%
irelia,58.11%,41.89%,57.47%,42.53%,2.83 : 1,1.31 : 1,42.68%,35.48%,"21,750","20,352","17'29""","16'10""",58.11%,41.89%,52.33%,51.34%,4.65%,4.45%,8.59%,13.86%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,50.56%,49.44%,56.85%,43.15%,2.58 : 1,1.47 : 1,40.53%,31.84%,"22,082","19,580","17'0""","16'7""",50.56%,49.44%,52.33%,50.50%,4.65%,6.89%,8.59%,8.89%
jayce,54.13%,45.87%,65.21%,34.79%,2.69 : 1,1.56 : 1,41.64%,37.12%,"19,730","20,506","17'5""","16'21""",54.13%,45.87%,52.33%,48.96%,4.65%,5.00%,8.59%,7.97%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,,,,,
kayle,56.09%,43.91%,70.97%,29.03%,3.03 : 1,1.34 : 1,40.52%,33.79%,"22,953","17,877","15'49""","18'33""",56.09%,43.91%,52.33%,52.38%,4.65%,3.67%,8.59%,4.69%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,51.89%,48.11%,62.93%,37.07%,2.55 : 1,1.58 : 1,41.03%,36.64%,"20,224","22,446","16'44""","18'16""",51.89%,48.11%,52.33%,52.53%,4.65%,2.32%,8.59%,2.01%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,44.81%,55.19%,49.81%,50.19%,2.44 : 1,2.12 : 1,42.92%,42.10%,"21,587","18,744","16'32""","15'29""",44.81%,55.19%,52.33%,52.12%,4.65%,1.49%,8.59%,0.60%
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,51.28%,48.72%,48.16%,51.84%,2.40 : 1,2.08 : 1,39.17%,36.26%,"19,972","19,950","18'41""","16'46""",51.28%,48.72%,52.33%,48.49%,4.65%,4.35%,8.59%,2.71%
leblanc,,,,,,,,,,,,,,,,,,,,
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,,,,,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,,,,,
malzahar,,,,,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,46.55%,53.45%,53.01%,46.99%,2.19 : 1,1.86 : 1,37.55%,35.62%,"18,987","24,624","19'2""","16'10""",46.55%,53.45%,52.33%,52.00%,4.65%,5.23%,8.59%,5.98%
morgana,,,,,,,,,,,,,,,,,,,,
naafiri,,,,,,,,,,,,,,,,,,,,
nami,,,,,,,,,,,,,,,,,,,,
nasus,47.18%,52.82%,53.17%,46.83%,2.40 : 1,1.90 : 1,39.67%,33.55%,"26,103","19,701","17'32""","17'12""",47.18%,52.82%,52.33%,51.34%,4.65%,2.96%,8.59%,3.25%
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,,,,,,,,,,,,,,,,,,,,
nidalee,,,,,,,,,,,,,,,,,,,,
nilah,,,,,,,,,,,,,,,,,,,,
nocturne,,,,,,,,,,,,,,,,,,,,
nunu,,,,,,,,,,,,,,,,,,,,
olaf,46.26%,53.74%,52.34%,47.66%,2.32 : 1,1.81 : 1,41.64%,38.17%,"22,139","25,557","17'17""","16'7""",46.26%,53.74%,52.33%,52.51%,4.65%,1.69%,8.59%,1.38%
orianna,,,,,,,,,,,,,,,,,,,,
ornn,46.51%,53.49%,42.24%,57.76%,2.12 : 1,2.59 : 1,38.17%,41.68%,"20,809","21,712","18'36""","16'6""",46.51%,53.49%,52.33%,51.14%,4.65%,3.76%,8.59%,0.43%
pantheon,51.88%,48.12%,53.27%,46.73%,2.31 : 1,1.93 : 1,42.45%,42.06%,"20,107","22,146","16'44""","17'33""",51.88%,48.12%,52.33%,51.51%,4.65%,2.15%,8.59%,10.60%
poppy,45.74%,54.26%,50.92%,49.08%,2.30 : 1,2.20 : 1,37.44%,38.49%,"21,023","20,629","17'4""","16'42""",45.74%,54.26%,52.33%,51.61%,4.65%,1.38%,8.59%,6.57%
pyke,,,,,,,,,,,,,,,,,,,,
qiyana,,,,,,,,,,,,,,,,,,,,
quinn,53.69%,46.31%,62.62%,37.38%,2.70 : 1,1.86 : 1,41.34%,44.69%,"21,167","22,998","15'13""","19'38""",53.69%,46.31%,52.33%,53.54%,4.65%,1.87%,8.59%,1.85%
rakan,,,,,,,,,,,,,,,,,,,,
rammus,,,,,,,,,,,,,,,,,,,,
reksai,,,,,,,,,,,,,,,,,,,,
rell,,,,,,,,,,,,,,,,,,,,
renata,,,,,,,,,,,,,,,,,,,,
renekton,49.38%,50.62%,55.58%,44.42%,2.29 : 1,1.80 : 1,39.83%,35.86%,"23,038","20,671","17'28""","16'31""",49.38%,50.62%,52.33%,50.42%,4.65%,6.82%,8.59%,5.72%
