Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,50.23%,49.77%,43.00%,57.00%,2.13 : 1,2.85 : 1,41.89%,45.52%,"22,634","21,430","16'40""","17'54""",50.23%,49.77%,51.28%,49.44%,4.98%,7.97%,6.82%,2.83%
akali,54.09%,45.91%,44.43%,55.57%,2.22 : 1,2.47 : 1,43.40%,43.81%,"24,038","23,071","16'21""","18'55""",54.09%,45.91%,51.28%,50.95%,4.98%,6.65%,6.82%,10.14%
akshan,49.68%,50.32%,41.82%,58.18%,2.09 : 1,2.76 : 1,43.25%,50.27%,"23,077","25,806","16'1""","17'43""",49.68%,50.32%,51.28%,52.40%,4.98%,2.44%,6.82%,3.51%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,48.81%,51.19%,41.98%,58.02%,2.18 : 1,3.01 : 1,42.73%,43.21%,"24,841","20,182","17'27""","17'35""",48.81%,51.19%,51.28%,52.46%,4.98%,2.22%,6.82%,1.84%
annie,47.90%,52.10%,48.30%,51.70%,2.07 : 1,2.47 : 1,42.50%,46.94%,"21,757","23,720","15'45""","18'31""",47.90%,52.10%,51.28%,51.85%,4.98%,2.78%,6.82%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,51.04%,48.96%,49.23%,50.77%,2.25 : 1,2.84 : 1,42.61%,50.24%,"24,121","24,916","15'51""","19'21""",51.04%,48.96%,51.28%,51.11%,4.98%,2.10%,6.82%,0.64%
azir,53.72%,46.28%,47.32%,52.68%,2.43 : 1,2.20 : 1,44.68%,42.44%,"23,149","22,731","16'51""","17'37""",53.72%,46.28%,51.28%,47.22%,4.98%,2.75%,6.82%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
