Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,50.58%,49.42%,47.64%,52.36%,2.40 : 1,2.76 : 1,54.95%,57.51%,50.58%,49.42%,50.87%,51.08%,1.53%,6.23%,0.21%,2.63%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,37.50%,62.50%,45.65%,54.35%,2.07 : 1,3.27 : 1,51.57%,48.59%,37.50%,62.50%,50.87%,45.21%,1.53%,0.56%,0.21%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,48.58%,51.42%,45.73%,54.27%,2.43 : 1,3.05 : 1,53.28%,59.63%,48.58%,51.42%,50.87%,51.13%,1.53%,5.51%,0.21%,1.53%
belveth,,,,,,,,,,,,,,,,
blitzcrank,48.00%,52.00%,45.93%,54.07%,2.33 : 1,2.58 : 1,53.80%,55.25%,48.00%,52.00%,50.87%,50.72%,1.53%,4.93%,0.21%,12.54%
brand,57.14%,42.86%,52.72%,47.28%,2.43 : 1,1.85 : 1,51.47%,49.44%,57.14%,42.86%,50.87%,48.86%,1.53%,1.45%,0.21%,1.11%
braum,46.96%,53.04%,44.87%,55.13%,2.37 : 1,3.07 : 1,55.73%,60.84%,46.96%,53.04%,50.87%,52.43%,1.53%,8.00%,0.21%,14.36%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,52.63%,47.37%,44.70%,55.30%,2.39 : 1,2.22 : 1,53.22%,51.48%,52.63%,47.37%,50.87%,52.54%,1.53%,1.60%,0.21%,5.37%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,42.86%,57.14%,52.48%,47.52%,2.39 : 1,2.29 : 1,53.11%,49.91%,42.86%,57.14%,50.87%,51.12%,1.53%,1.01%,0.21%,3.04%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,36.36%,63.64%,45.00%,55.00%,2.12 : 1,3.02 : 1,56.92%,56.04%,36.36%,63.64%,50.87%,50.98%,1.53%,0.60%,0.21%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,45.16%,54.84%,41.01%,58.99%,2.03 : 1,2.68 : 1,49.62%,57.11%,45.16%,54.84%,50.87%,48.99%,1.53%,0.76%,0.21%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,40.40%,59.60%,40.71%,59.29%,2.19 : 1,3.63 : 1,51.43%,61.89%,40.40%,59.60%,50.87%,52.37%,1.53%,4.91%,0.21%,1.62%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,54.24%,45.76%,45.36%,54.64%,2.48 : 1,2.74 : 1,52.71%,57.78%,54.24%,45.76%,50.87%,50.07%,1.53%,9.39%,0.21%,5.32%
