Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,52.59%,47.41%,58.37%,41.63%,3.78 : 1,2.65 : 1,60.98%,55.12%,52.59%,47.41%,52.15%,51.08%,8.71%,6.23%,5.42%,2.63%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,62.62%,37.38%,62.84%,37.16%,4.27 : 1,2.21 : 1,57.28%,49.93%,62.62%,37.38%,52.15%,45.21%,8.71%,0.56%,5.42%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,50.08%,49.92%,53.32%,46.68%,3.69 : 1,3.24 : 1,59.76%,57.58%,50.08%,49.92%,52.15%,51.13%,8.71%,5.51%,5.42%,1.53%
belveth,,,,,,,,,,,,,,,,
blitzcrank,49.25%,50.75%,51.40%,48.60%,3.40 : 1,2.78 : 1,60.29%,51.97%,49.25%,50.75%,52.15%,50.72%,8.71%,4.93%,5.42%,12.54%
brand,54.58%,45.42%,64.99%,35.01%,4.20 : 1,1.87 : 1,59.62%,46.00%,54.58%,45.42%,52.15%,48.86%,8.71%,1.45%,5.42%,1.11%
braum,49.54%,50.46%,51.57%,48.43%,3.66 : 1,3.23 : 1,59.71%,57.42%,49.54%,50.46%,52.15%,52.43%,8.71%,8.00%,5.42%,14.36%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,49.84%,50.16%,58.59%,41.41%,3.64 : 1,2.17 : 1,60.90%,50.63%,49.84%,50.16%,52.15%,52.54%,8.71%,1.60%,5.42%,5.37%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,44.98%,55.02%,54.76%,45.24%,3.64 : 1,2.44 : 1,60.72%,50.74%,44.98%,55.02%,52.15%,51.12%,8.71%,1.01%,5.42%,3.04%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,56.10%,43.90%,55.04%,44.96%,3.95 : 1,2.58 : 1,62.48%,55.70%,56.10%,43.90%,52.15%,50.98%,8.71%,0.60%,5.42%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,54.05%,45.95%,57.51%,42.49%,4.09 : 1,2.48 : 1,58.81%,52.86%,54.05%,45.95%,52.15%,48.99%,8.71%,0.76%,5.42%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,47.93%,52.07%,49.32%,50.68%,3.66 : 1,3.58 : 1,57.96%,58.20%,47.93%,52.07%,52.15%,52.37%,8.71%,4.91%,5.42%,1.62%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,52.36%,47.64%,52.34%,47.66%,3.87 : 1,2.87 : 1,59.27%,54.42%,52.36%,47.64%,52.15%,50.07%,8.71%,9.39%,5.42%,5.32%
