Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,51.01%,48.99%,54.49%,45.51%,2.61 : 1,1.96 : 1,50.35%,44.46%,"23,859","24,229","15'27""","15'38""",51.01%,48.99%,50.93%,50.10%,6.39%,8.80%,1.30%,3.15%
ashe,51.99%,48.01%,51.92%,48.08%,2.44 : 1,2.21 : 1,49.74%,48.48%,"23,662","20,735","15'47""","16'23""",51.99%,48.01%,50.93%,50.75%,6.39%,5.79%,1.30%,1.52%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,51.10%,48.90%,53.98%,46.02%,2.54 : 1,2.07 : 1,48.54%,44.70%,"24,610","24,204","15'46""","15'15""",51.10%,48.90%,50.93%,49.88%,6.39%,11.07%,1.30%,12.90%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,49.58%,50.42%,47.57%,52.43%,2.30 : 1,2.53 : 1,49.40%,49.08%,"24,834","25,507","16'5""","15'31""",49.58%,50.42%,50.93%,49.46%,6.39%,2.33%,1.30%,0.52%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,46.93%,53.07%,52.08%,47.92%,2.34 : 1,2.07 : 1,50.36%,47.64%,"23,148","24,671","15'54""","15'3""",46.93%,53.07%,50.93%,49.67%,6.39%,4.13%,1.30%,19.02%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,50.44%,49.56%,48.80%,51.20%,2.36 : 1,2.62 : 1,48.52%,47.96%,"24,293","26,934","15'44""","15'26""",50.44%,49.56%,50.93%,48.35%,6.39%,13.70%,1.30%,4.98%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,48.28%,51.72%,47.14%,52.86%,2.37 : 1,2.77 : 1,46.95%,50.64%,"23,017","25,919","16'26""","15'31""",48.28%,51.72%,50.93%,52.18%,6.39%,0.92%,1.30%,3.20%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
