Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,52.53%,47.47%,47.72%,52.28%,1.69 : 1,1.69 : 1,35.34%,35.65%,"24,278","22,632","16'49""","17'4""",52.53%,47.47%,52.00%,49.91%,5.23%,10.04%,5.98%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,59.12%,40.88%,45.32%,54.68%,1.74 : 1,1.87 : 1,32.92%,37.62%,"22,899","26,060","17'8""","18'47""",59.12%,40.88%,52.00%,49.71%,5.23%,1.62%,5.98%,9.79%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,50.91%,49.09%,53.41%,46.59%,1.97 : 1,1.68 : 1,36.74%,35.70%,"25,455","22,560","15'26""","17'46""",50.91%,49.09%,52.00%,51.16%,5.23%,3.69%,5.98%,1.44%
cassiopeia,51.06%,48.94%,47.67%,52.33%,1.76 : 1,1.79 : 1,34.19%,39.17%,"21,346","26,068","17'47""","16'59""",51.06%,48.94%,52.00%,51.32%,5.23%,0.58%,5.98%,1.11%
chogath,52.51%,47.49%,52.57%,47.43%,1.95 : 1,1.77 : 1,36.68%,36.56%,"30,643","21,905","17'1""","17'53""",52.51%,47.49%,52.00%,51.79%,5.23%,3.23%,5.98%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,50.56%,49.44%,50.34%,49.66%,1.68 : 1,1.63 : 1,35.53%,35.65%,"23,197","22,231","16'54""","16'57""",50.56%,49.44%,52.00%,50.09%,5.23%,5.74%,5.98%,13.71%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,52.91%,47.09%,52.81%,47.19%,2.02 : 1,1.67 : 1,35.15%,31.88%,"36,156","25,923","17'14""","16'55""",52.91%,47.09%,52.00%,50.47%,5.23%,7.37%,5.98%,15.62%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,47.91%,52.09%,51.83%,48.17%,1.68 : 1,1.50 : 1,34.20%,33.86%,"22,677","23,110","16'45""","15'54""",47.91%,52.09%,52.00%,51.40%,5.23%,4.67%,5.98%,6.92%
fizz,,,,,,,,,,,,,,,,,,,,
galio,63.33%,36.67%,50.70%,49.30%,2.13 : 1,2.36 : 1,40.27%,48.17%,"24,869","21,022","16'50""","18'11""",63.33%,36.67%,52.00%,48.97%,5.23%,0.54%,5.98%,2.78%
