Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,52.45%,47.55%,56.53%,43.47%,2.82 : 1,2.35 : 1,56.45%,53.88%,52.45%,47.55%,50.44%,51.08%,4.03%,6.23%,10.94%,2.63%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,56.36%,43.64%,50.49%,49.51%,2.73 : 1,2.33 : 1,51.43%,52.28%,56.36%,43.64%,50.44%,45.21%,4.03%,0.56%,10.94%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,49.68%,50.32%,50.92%,49.08%,2.60 : 1,3.01 : 1,54.30%,57.02%,49.68%,50.32%,50.44%,51.13%,4.03%,5.51%,10.94%,1.53%
belveth,,,,,,,,,,,,,,,,
blitzcrank,47.56%,52.44%,50.37%,49.63%,2.41 : 1,2.53 : 1,54.72%,51.48%,47.56%,52.44%,50.44%,50.72%,4.03%,4.93%,10.94%,12.54%
brand,57.41%,42.59%,61.50%,38.50%,2.97 : 1,1.69 : 1,53.41%,45.55%,57.41%,42.59%,50.44%,48.86%,4.03%,1.45%,10.94%,1.11%
braum,50.27%,49.73%,52.95%,47.05%,2.72 : 1,2.80 : 1,56.56%,57.62%,50.27%,49.73%,50.44%,52.43%,4.03%,8.00%,10.94%,14.36%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,48.41%,51.59%,52.30%,47.70%,2.32 : 1,2.12 : 1,54.03%,48.59%,48.41%,51.59%,50.44%,52.54%,4.03%,1.60%,10.94%,5.37%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,42.00%,58.00%,52.68%,47.32%,2.61 : 1,2.29 : 1,55.20%,50.15%,42.00%,58.00%,50.44%,51.12%,4.03%,1.01%,10.94%,3.04%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,42.00%,58.00%,57.79%,42.21%,2.72 : 1,2.46 : 1,57.07%,54.02%,42.00%,58.00%,50.44%,50.98%,4.03%,0.60%,10.94%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,56.52%,43.48%,49.64%,50.36%,2.46 : 1,2.49 : 1,53.16%,52.32%,56.52%,43.48%,50.44%,48.99%,4.03%,0.76%,10.94%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,44.50%,55.50%,47.69%,52.31%,2.52 : 1,3.39 : 1,53.37%,59.08%,44.50%,55.50%,50.44%,52.37%,4.03%,4.91%,10.94%,1.62%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,46.57%,53.43%,49.66%,50.34%,2.52 : 1,2.88 : 1,53.36%,54.78%,46.57%,53.43%,50.44%,50.07%,4.03%,9.39%,10.94%,5.32%
