Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,51.05%,48.95%,3.12 : 1,2.67 : 1,55.41%,49.75%,"20,938","17,767",51.05%,48.95%,50.15%,49.90%,3.62%,1.99%,13.60%,1.31%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,48.41%,51.59%,2.98 : 1,2.75 : 1,52.02%,50.86%,"18,270","16,306",48.41%,51.59%,50.15%,51.21%,3.62%,1.95%,13.60%,3.82%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,48.90%,51.10%,3.04 : 1,2.40 : 1,55.30%,53.43%,"22,034","22,878",48.90%,51.10%,50.15%,52.51%,3.62%,3.97%,13.60%,4.30%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,44.77%,55.23%,2.90 : 1,2.51 : 1,53.16%,51.98%,"19,481","22,676",44.77%,55.23%,50.15%,51.14%,3.62%,5.34%,13.60%,6.01%
drmundo,53.77%,46.23%,3.55 : 1,2.64 : 1,53.25%,44.54%,"22,039","17,754",53.77%,46.23%,50.15%,49.05%,3.62%,1.62%,13.60%,15.14%
draven,,,,,,,,,,,,,,,,
ekko,46.60%,53.40%,3.04 : 1,2.90 : 1,53.80%,52.34%,"21,378","21,552",46.60%,53.40%,50.15%,51.60%,3.62%,6.36%,13.60%,4.77%
elise,49.42%,50.58%,3.21 : 1,2.75 : 1,54.22%,51.71%,"19,493","19,386",49.42%,50.58%,50.15%,50.77%,3.62%,3.31%,13.60%,5.58%
evelynn,48.43%,51.57%,3.07 : 1,3.16 : 1,53.71%,52.78%,"20,072","22,526",48.43%,51.57%,50.15%,51.04%,3.62%,2.68%,13.60%,3.75%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,44.57%,55.43%,2.92 : 1,2.81 : 1,53.22%,50.52%,"19,831","20,505",44.57%,55.43%,50.15%,52.30%,3.62%,3.04%,13.60%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,43.48%,56.52%,2.83 : 1,3.01 : 1,52.60%,50.31%,"20,565","21,647",43.48%,56.52%,50.15%,50.90%,3.62%,1.19%,13.60%,1.66%
graves,56.60%,43.40%,3.25 : 1,2.35 : 1,51.35%,50.10%,"20,326","21,370",56.60%,43.40%,50.15%,49.63%,3.62%,5.71%,13.60%,4.42%
gwen,55.06%,44.94%,3.40 : 1,2.29 : 1,53.44%,51.97%,"20,126","22,509",55.06%,44.94%,50.15%,50.83%,3.62%,1.25%,13.60%,8.42%
hecarim,42.86%,57.14%,2.48 : 1,3.26 : 1,51.79%,55.47%,"19,613","21,960",42.86%,57.14%,50.15%,49.84%,3.62%,4.29%,13.60%,4.65%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,46.90%,53.10%,3.13 : 1,3.99 : 1,53.25%,60.01%,"19,249","11,614",46.90%,53.10%,50.15%,51.95%,3.62%,1.45%,13.60%,0.83%
janna,,,,,,,,,,,,,,,,
