Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,51.88%,48.12%,55.98%,44.02%,3.42 : 1,2.57 : 1,62.26%,55.01%,51.88%,48.12%,52.14%,51.08%,13.44%,6.23%,3.07%,2.63%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,58.82%,41.18%,63.45%,36.55%,3.73 : 1,2.22 : 1,59.41%,51.15%,58.82%,41.18%,52.14%,45.21%,13.44%,0.56%,3.07%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,50.07%,49.93%,53.41%,46.59%,3.24 : 1,3.04 : 1,60.59%,57.25%,50.07%,49.93%,52.14%,51.13%,13.44%,5.51%,3.07%,1.53%
belveth,,,,,,,,,,,,,,,,
blitzcrank,47.11%,52.89%,52.12%,47.88%,3.00 : 1,2.67 : 1,60.19%,51.74%,47.11%,52.89%,52.14%,50.72%,13.44%,4.93%,3.07%,12.54%
brand,56.85%,43.15%,67.44%,32.56%,3.94 : 1,1.67 : 1,61.05%,44.98%,56.85%,43.15%,52.14%,48.86%,13.44%,1.45%,3.07%,1.11%
braum,49.64%,50.36%,51.82%,48.18%,3.35 : 1,3.04 : 1,61.61%,57.56%,49.64%,50.36%,52.14%,52.43%,13.44%,8.00%,3.07%,14.36%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,47.47%,52.53%,55.10%,44.90%,3.19 : 1,2.19 : 1,62.24%,51.17%,47.47%,52.53%,52.14%,52.54%,13.44%,1.60%,3.07%,5.37%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,49.69%,50.31%,61.01%,38.99%,3.43 : 1,2.16 : 1,61.68%,50.14%,49.69%,50.31%,52.14%,51.12%,13.44%,1.01%,3.07%,3.04%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,47.37%,52.63%,57.55%,42.45%,3.51 : 1,2.50 : 1,62.31%,54.11%,47.37%,52.63%,52.14%,50.98%,13.44%,0.60%,3.07%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,56.93%,43.07%,59.58%,40.42%,3.70 : 1,2.18 : 1,61.45%,51.14%,56.93%,43.07%,52.14%,48.99%,13.44%,0.76%,3.07%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,51.25%,48.75%,50.65%,49.35%,3.34 : 1,3.27 : 1,59.75%,58.04%,51.25%,48.75%,52.14%,52.37%,13.44%,4.91%,3.07%,1.62%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,52.09%,47.91%,52.88%,47.12%,3.43 : 1,2.79 : 1,60.29%,55.23%,52.09%,47.91%,52.14%,50.07%,13.44%,9.39%,3.07%,5.32%
