Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,50.71%,49.29%,46.51%,53.49%,1.71 : 1,1.84 : 1,33.86%,36.62%,"20,158","27,561","17'45""","15'56""",50.71%,49.29%,51.34%,49.91%,2.96%,10.04%,3.25%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,59.34%,40.66%,43.92%,56.08%,1.69 : 1,1.93 : 1,32.17%,37.61%,"19,101","28,189","17'45""","17'10""",59.34%,40.66%,51.34%,49.71%,2.96%,1.62%,3.25%,9.79%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,48.16%,51.84%,48.29%,51.71%,1.72 : 1,1.89 : 1,34.74%,38.32%,"20,284","27,889","16'51""","16'40""",48.16%,51.84%,51.34%,51.16%,2.96%,3.69%,3.25%,1.44%
cassiopeia,55.56%,44.44%,53.21%,46.79%,1.79 : 1,1.65 : 1,35.74%,35.39%,"18,451","25,119","17'34""","16'39""",55.56%,44.44%,51.34%,51.32%,2.96%,0.58%,3.25%,1.11%
chogath,48.95%,51.05%,51.07%,48.93%,1.83 : 1,2.05 : 1,33.78%,38.42%,"21,652","26,584","17'16""","15'45""",48.95%,51.05%,51.34%,51.79%,2.96%,3.23%,3.25%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,50.72%,49.28%,47.89%,52.11%,1.67 : 1,1.68 : 1,31.93%,34.51%,"18,143","21,908","17'22""","16'4""",50.72%,49.28%,51.34%,50.09%,2.96%,5.74%,3.25%,13.71%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,53.07%,46.93%,60.87%,39.13%,2.46 : 1,1.61 : 1,37.33%,32.76%,"34,096","32,419","17'16""","15'45""",53.07%,46.93%,51.34%,50.47%,2.96%,7.37%,3.25%,15.62%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,45.35%,54.65%,50.81%,49.19%,1.77 : 1,1.62 : 1,34.03%,33.49%,"20,207","25,828","16'53""","16'1""",45.35%,54.65%,51.34%,51.40%,2.96%,4.67%,3.25%,6.92%
fizz,,,,,,,,,,,,,,,,,,,,
galio,48.15%,51.85%,36.36%,63.64%,1.75 : 1,2.89 : 1,33.95%,48.49%,"21,512","21,366","16'49""","17'15""",48.15%,51.85%,51.34%,48.97%,2.96%,0.54%,3.25%,2.78%
