Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,48.42%,51.58%,52.08%,47.92%,2.46 : 1,2.65 : 1,56.58%,59.40%,48.42%,51.58%,49.57%,51.08%,9.34%,6.23%,13.35%,2.63%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,67.86%,32.14%,61.12%,38.88%,3.14 : 1,1.80 : 1,53.63%,52.71%,67.86%,32.14%,49.57%,45.21%,9.34%,0.56%,13.35%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,48.75%,51.25%,48.40%,51.60%,2.46 : 1,3.13 : 1,54.46%,61.43%,48.75%,51.25%,49.57%,51.13%,9.34%,5.51%,13.35%,1.53%
belveth,,,,,,,,,,,,,,,,
blitzcrank,51.13%,48.87%,50.14%,49.86%,2.36 : 1,2.50 : 1,56.49%,55.56%,51.13%,48.87%,49.57%,50.72%,9.34%,4.93%,13.35%,12.54%
brand,50.75%,49.25%,55.36%,44.64%,2.53 : 1,2.01 : 1,52.89%,50.90%,50.75%,49.25%,49.57%,48.86%,9.34%,1.45%,13.35%,1.11%
braum,44.54%,55.46%,47.26%,52.74%,2.29 : 1,3.09 : 1,55.92%,61.84%,44.54%,55.46%,49.57%,52.43%,9.34%,8.00%,13.35%,14.36%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,51.16%,48.84%,47.88%,52.12%,2.42 : 1,2.25 : 1,55.73%,54.93%,51.16%,48.84%,49.57%,52.54%,9.34%,1.60%,13.35%,5.37%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,51.33%,48.67%,51.58%,48.42%,2.52 : 1,2.30 : 1,55.78%,54.44%,51.33%,48.67%,49.57%,51.12%,9.34%,1.01%,13.35%,3.04%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,45.89%,54.11%,53.80%,46.20%,2.57 : 1,2.40 : 1,57.97%,58.02%,45.89%,54.11%,49.57%,50.98%,9.34%,0.60%,13.35%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,54.90%,45.10%,53.54%,46.46%,2.60 : 1,2.33 : 1,52.40%,55.02%,54.90%,45.10%,49.57%,48.99%,9.34%,0.76%,13.35%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,46.69%,53.31%,48.80%,51.20%,2.52 : 1,3.30 : 1,54.68%,62.02%,46.69%,53.31%,49.57%,52.37%,9.34%,4.91%,13.35%,1.62%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,53.46%,46.54%,49.78%,50.22%,2.58 : 1,2.64 : 1,54.44%,58.42%,53.46%,46.54%,49.57%,50.07%,9.34%,9.39%,13.35%,5.32%
