Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,47.62%,52.38%,49.82%,50.18%,2.37 : 1,2.81 : 1,51.82%,56.95%,47.62%,52.38%,49.96%,51.08%,2.33%,6.23%,1.84%,2.63%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,63.64%,36.36%,56.72%,43.28%,2.51 : 1,2.18 : 1,44.59%,53.34%,63.64%,36.36%,49.96%,45.21%,2.33%,0.56%,1.84%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,46.45%,53.55%,44.82%,55.18%,2.16 : 1,3.40 : 1,49.09%,59.82%,46.45%,53.55%,49.96%,51.13%,2.33%,5.51%,1.84%,1.53%
belveth,,,,,,,,,,,,,,,,
blitzcrank,46.92%,53.08%,47.19%,52.81%,2.28 : 1,2.65 : 1,50.77%,51.95%,46.92%,53.08%,49.96%,50.72%,2.33%,4.93%,1.84%,12.54%
brand,45.61%,54.39%,53.52%,46.48%,2.31 : 1,1.91 : 1,48.19%,45.17%,45.61%,54.39%,49.96%,48.86%,2.33%,1.45%,1.84%,1.11%
braum,46.46%,53.54%,47.87%,52.13%,2.36 : 1,3.21 : 1,53.22%,58.59%,46.46%,53.54%,49.96%,52.43%,2.33%,8.00%,1.84%,14.36%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,47.90%,52.10%,48.93%,51.07%,2.30 : 1,2.27 : 1,53.16%,50.46%,47.90%,52.10%,49.96%,52.54%,2.33%,1.60%,1.84%,5.37%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,41.56%,58.44%,47.55%,52.45%,2.16 : 1,2.50 : 1,49.04%,52.03%,41.56%,58.44%,49.96%,51.12%,2.33%,1.01%,1.84%,3.04%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,51.43%,48.57%,52.38%,47.62%,2.51 : 1,2.34 : 1,52.64%,53.34%,51.43%,48.57%,49.96%,50.98%,2.33%,0.60%,1.84%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,36.96%,63.04%,48.26%,51.74%,2.10 : 1,2.16 : 1,44.08%,50.04%,36.96%,63.04%,49.96%,48.99%,2.33%,0.76%,1.84%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,44.63%,55.37%,43.31%,56.69%,2.24 : 1,3.41 : 1,48.96%,58.73%,44.63%,55.37%,49.96%,52.37%,2.33%,4.91%,1.84%,1.62%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,50.99%,49.01%,45.22%,54.78%,2.33 : 1,2.84 : 1,48.32%,54.96%,50.99%,49.01%,49.96%,50.07%,2.33%,9.39%,1.84%,5.32%
