Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,49.68%,50.32%,3.01 : 1,2.25 : 1,56.96%,50.03%,"21,490","16,268",49.68%,50.32%,49.93%,49.90%,4.73%,1.99%,2.35%,1.31%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,49.62%,50.38%,3.03 : 1,2.75 : 1,55.06%,51.97%,"19,026","15,995",49.62%,50.38%,49.93%,51.21%,4.73%,1.95%,2.35%,3.82%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,47.85%,52.15%,2.79 : 1,2.50 : 1,56.04%,54.26%,"21,002","22,989",47.85%,52.15%,49.93%,52.51%,4.73%,3.97%,2.35%,4.30%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,44.87%,55.13%,2.91 : 1,2.67 : 1,55.33%,53.32%,"19,424","21,926",44.87%,55.13%,49.93%,51.14%,4.73%,5.34%,2.35%,6.01%
drmundo,51.25%,48.75%,3.28 : 1,2.53 : 1,56.73%,47.72%,"23,372","18,898",51.25%,48.75%,49.93%,49.05%,4.73%,1.62%,2.35%,15.14%
draven,,,,,,,,,,,,,,,,
ekko,49.53%,50.47%,3.01 : 1,2.77 : 1,54.93%,52.40%,"20,269","20,592",49.53%,50.47%,49.93%,51.60%,4.73%,6.36%,2.35%,4.77%
elise,42.19%,57.81%,2.82 : 1,2.82 : 1,56.45%,52.32%,"19,259","20,469",42.19%,57.81%,49.93%,50.77%,4.73%,3.31%,2.35%,5.58%
evelynn,53.82%,46.18%,3.09 : 1,2.57 : 1,55.74%,51.48%,"20,197","20,643",53.82%,46.18%,49.93%,51.04%,4.73%,2.68%,2.35%,3.75%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,52.51%,47.49%,3.18 : 1,2.58 : 1,55.19%,51.14%,"21,188","20,630",52.51%,47.49%,49.93%,52.30%,4.73%,3.04%,2.35%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,41.77%,58.23%,2.97 : 1,2.77 : 1,57.29%,50.77%,"21,614","20,628",41.77%,58.23%,49.93%,50.90%,4.73%,1.19%,2.35%,1.66%
graves,52.69%,47.31%,3.29 : 1,2.32 : 1,55.14%,50.22%,"20,964","21,223",52.69%,47.31%,49.93%,49.63%,4.73%,5.71%,2.35%,4.42%
gwen,41.32%,58.68%,3.04 : 1,2.65 : 1,57.25%,49.89%,"19,585","21,464",41.32%,58.68%,49.93%,50.83%,4.73%,1.25%,2.35%,8.42%
hecarim,50.38%,49.62%,3.08 : 1,2.79 : 1,57.89%,53.45%,"20,088","18,501",50.38%,49.62%,49.93%,49.84%,4.73%,4.29%,2.35%,4.65%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,52.63%,47.37%,3.28 : 1,3.56 : 1,56.89%,60.17%,"19,704","10,653",52.63%,47.37%,49.93%,51.95%,4.73%,1.45%,2.35%,0.83%
janna,,,,,,,,,,,,,,,,
