Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,52.48%,47.52%,55.05%,44.95%,2.48 : 1,1.87 : 1,49.93%,45.68%,"21,602","24,156","15'13""","15'24""",52.48%,47.52%,53.10%,50.10%,2.35%,8.80%,4.14%,3.15%
ashe,49.46%,50.54%,51.35%,48.65%,2.12 : 1,2.25 : 1,48.07%,49.72%,"21,594","22,827","15'44""","15'24""",49.46%,50.54%,53.10%,50.75%,2.35%,5.79%,4.14%,1.52%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,48.87%,51.13%,52.95%,47.05%,2.20 : 1,2.27 : 1,47.80%,46.51%,"21,250","24,772","15'26""","14'30""",48.87%,51.13%,53.10%,49.88%,2.35%,11.07%,4.14%,12.90%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,52.86%,47.14%,44.40%,55.60%,2.15 : 1,2.57 : 1,50.09%,52.69%,"22,783","28,576","15'57""","14'47""",52.86%,47.14%,53.10%,49.46%,2.35%,2.33%,4.14%,0.52%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,54.98%,45.02%,51.66%,48.34%,2.24 : 1,2.03 : 1,48.63%,49.18%,"21,534","24,093","15'6""","14'28""",54.98%,45.02%,53.10%,49.67%,2.35%,4.13%,4.14%,19.02%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,54.70%,45.30%,46.68%,53.32%,2.28 : 1,2.56 : 1,48.29%,48.40%,"22,805","27,766","15'15""","15'16""",54.70%,45.30%,53.10%,48.35%,2.35%,13.70%,4.14%,4.98%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,48.48%,51.52%,45.97%,54.03%,2.06 : 1,2.61 : 1,45.97%,51.51%,"20,082","27,675","16'33""","15'42""",48.48%,51.52%,53.10%,52.18%,2.35%,0.92%,4.14%,3.20%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
