Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,49.85%,50.15%,2.78 : 1,2.53 : 1,52.36%,52.17%,"20,328","19,933",49.85%,50.15%,51.73%,49.90%,6.48%,1.99%,12.23%,1.31%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,50.98%,49.02%,2.93 : 1,2.63 : 1,51.37%,52.24%,"18,262","17,919",50.98%,49.02%,51.73%,51.21%,6.48%,1.95%,12.23%,3.82%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,51.17%,48.83%,2.82 : 1,2.35 : 1,53.28%,54.12%,"20,526","23,874",51.17%,48.83%,51.73%,52.51%,6.48%,3.97%,12.23%,4.30%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,51.67%,48.33%,3.02 : 1,2.43 : 1,53.04%,52.99%,"19,561","22,915",51.67%,48.33%,51.73%,51.14%,6.48%,5.34%,12.23%,6.01%
drmundo,53.60%,46.40%,3.05 : 1,2.84 : 1,51.96%,49.62%,"22,359","22,579",53.60%,46.40%,51.73%,49.05%,6.48%,1.62%,12.23%,15.14%
draven,,,,,,,,,,,,,,,,
ekko,48.06%,51.94%,2.73 : 1,2.94 : 1,51.18%,53.58%,"19,235","22,552",48.06%,51.94%,51.73%,51.60%,6.48%,6.36%,12.23%,4.77%
elise,54.88%,45.12%,3.03 : 1,2.43 : 1,52.99%,52.27%,"19,011","20,695",54.88%,45.12%,51.73%,50.77%,6.48%,3.31%,12.23%,5.58%
evelynn,48.62%,51.38%,2.68 : 1,3.07 : 1,51.37%,54.25%,"18,543","24,405",48.62%,51.38%,51.73%,51.04%,6.48%,2.68%,12.23%,3.75%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,53.04%,46.96%,2.94 : 1,2.71 : 1,52.48%,52.97%,"19,845","22,780",53.04%,46.96%,51.73%,52.30%,6.48%,3.04%,12.23%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,53.24%,46.76%,2.85 : 1,2.98 : 1,51.01%,52.79%,"18,278","21,790",53.24%,46.76%,51.73%,50.90%,6.48%,1.19%,12.23%,1.66%
graves,51.28%,48.72%,2.81 : 1,2.54 : 1,50.12%,52.78%,"17,936","23,614",51.28%,48.72%,51.73%,49.63%,6.48%,5.71%,12.23%,4.42%
gwen,44.86%,55.14%,2.82 : 1,2.67 : 1,51.86%,52.89%,"17,835","23,290",44.86%,55.14%,51.73%,50.83%,6.48%,1.25%,12.23%,8.42%
hecarim,53.98%,46.02%,2.92 : 1,2.81 : 1,51.68%,56.30%,"19,167","21,314",53.98%,46.02%,51.73%,49.84%,6.48%,4.29%,12.23%,4.65%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,47.68%,52.32%,2.46 : 1,3.86 : 1,49.22%,59.90%,"16,896","12,100",47.68%,52.32%,51.73%,51.95%,6.48%,1.45%,12.23%,0.83%
janna,,,,,,,,,,,,,,,,
