Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,52.71%,47.29%,2.77 : 1,2.47 : 1,55.78%,50.74%,"17,154","18,043",52.71%,47.29%,51.50%,49.90%,2.42%,1.99%,0.65%,1.31%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,50.75%,49.25%,3.02 : 1,2.84 : 1,58.07%,52.13%,"14,574","16,477",50.75%,49.25%,51.50%,51.21%,2.42%,1.95%,0.65%,3.82%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,46.32%,53.68%,2.66 : 1,2.75 : 1,58.12%,54.67%,"16,741","24,010",46.32%,53.68%,51.50%,52.51%,2.42%,3.97%,0.65%,4.30%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,55.05%,44.95%,3.05 : 1,2.46 : 1,57.57%,53.69%,"15,838","22,187",55.05%,44.95%,51.50%,51.14%,2.42%,5.34%,0.65%,6.01%
drmundo,55.37%,44.63%,3.36 : 1,2.73 : 1,59.47%,48.33%,"18,083","19,564",55.37%,44.63%,51.50%,49.05%,2.42%,1.62%,0.65%,15.14%
draven,,,,,,,,,,,,,,,,
ekko,50.37%,49.63%,2.89 : 1,3.11 : 1,57.50%,54.92%,"16,327","22,768",50.37%,49.63%,51.50%,51.60%,2.42%,6.36%,0.65%,4.77%
elise,46.05%,53.95%,2.65 : 1,2.94 : 1,56.27%,52.85%,"15,649","21,807",46.05%,53.95%,51.50%,50.77%,2.42%,3.31%,0.65%,5.58%
evelynn,49.70%,50.30%,2.57 : 1,3.17 : 1,57.30%,51.26%,"15,877","22,558",49.70%,50.30%,51.50%,51.04%,2.42%,2.68%,0.65%,3.75%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,48.39%,51.61%,2.93 : 1,3.13 : 1,57.04%,52.43%,"16,832","22,311",48.39%,51.61%,51.50%,52.30%,2.42%,3.04%,0.65%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,57.14%,42.86%,2.83 : 1,3.12 : 1,57.37%,51.20%,"16,456","22,725",57.14%,42.86%,51.50%,50.90%,2.42%,1.19%,0.65%,1.66%
graves,56.36%,43.64%,2.98 : 1,2.53 : 1,54.61%,53.27%,"14,990","23,037",56.36%,43.64%,51.50%,49.63%,2.42%,5.71%,0.65%,4.42%
gwen,39.39%,60.61%,2.81 : 1,3.08 : 1,57.38%,53.18%,"15,647","23,689",39.39%,60.61%,51.50%,50.83%,2.42%,1.25%,0.65%,8.42%
hecarim,51.19%,48.81%,2.88 : 1,3.16 : 1,56.38%,56.06%,"16,698","21,522",51.19%,48.81%,51.50%,49.84%,2.42%,4.29%,0.65%,4.65%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,48.96%,51.04%,2.71 : 1,4.02 : 1,55.09%,61.88%,"13,292","11,132",48.96%,51.04%,51.50%,51.95%,2.42%,1.45%,0.65%,0.83%
janna,,,,,,,,,,,,,,,,
