Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,48.95%,51.05%,46.49%,53.51%,1.54 : 1,2.04 : 1,36.16%,38.70%,"24,201","22,382","16'31""","16'28""",48.95%,51.05%,52.51%,49.91%,1.69%,10.04%,1.38%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,45.45%,54.55%,44.60%,55.40%,1.39 : 1,2.29 : 1,34.08%,41.48%,"20,912","25,088","16'52""","16'45""",45.45%,54.55%,52.51%,49.71%,1.69%,1.62%,1.38%,9.79%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,45.65%,54.35%,44.37%,55.63%,1.59 : 1,2.19 : 1,38.46%,41.84%,"25,734","25,267","15'49""","16'50""",45.65%,54.35%,52.51%,51.16%,1.69%,3.69%,1.38%,1.44%
cassiopeia,57.50%,42.50%,57.75%,42.25%,1.93 : 1,1.63 : 1,41.46%,39.39%,"22,567","21,349","15'11""","18'38""",57.50%,42.50%,52.51%,51.32%,1.69%,0.58%,1.38%,1.11%
chogath,55.36%,44.64%,52.99%,47.01%,1.83 : 1,1.93 : 1,37.87%,39.38%,"28,331","22,858","16'30""","16'38""",55.36%,44.64%,52.51%,51.79%,1.69%,3.23%,1.38%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,51.30%,48.70%,51.70%,48.30%,1.77 : 1,1.72 : 1,38.46%,37.97%,"24,418","21,666","15'41""","16'14""",51.30%,48.70%,52.51%,50.09%,1.69%,5.74%,1.38%,13.71%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,54.03%,45.97%,59.45%,40.55%,2.15 : 1,1.68 : 1,39.10%,34.86%,"35,080","25,819","15'29""","16'28""",54.03%,45.97%,52.51%,50.47%,1.69%,7.37%,1.38%,15.62%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,50.79%,49.21%,48.39%,51.61%,1.69 : 1,1.70 : 1,37.53%,38.95%,"24,942","24,986","15'58""","15'18""",50.79%,49.21%,52.51%,51.40%,1.69%,4.67%,1.38%,6.92%
fizz,,,,,,,,,,,,,,,,,,,,
galio,63.16%,36.84%,57.69%,42.31%,2.11 : 1,2.10 : 1,42.86%,46.44%,"26,450","17,171","15'21""","21'26""",63.16%,36.84%,52.51%,48.97%,1.69%,0.54%,1.38%,2.78%
gangplank,49.61%,50.39%,56.81%,43.19%,1.73 : 1,2.09 : 1,36.88%,44.26%,"24,675","25,159","16'29""","16'59""",49.61%,50.39%,52.51%,50.78%,1.69%,4.85%,1.38%,4.88%
garen,45.00%,55.00%,47.00%,53.00%,1.53 : 1,2.05 : 1,35.25%,36.57%,"23,930","21,745","16'32""","15'56""",45.00%,55.00%,52.51%,50.53%,1.69%,3.86%,1.38%,2.30%
gnar,49.70%,50.30%,48.77%,51.23%,1.56 : 1,2.05 : 1,34.68%,39.30%,"21,724","22,974","16'6""","16'20""",49.70%,50.30%,52.51%,49.44%,1.69%,3.21%,1.38%,0.95%
gragas,51.23%,48.77%,46.19%,53.81%,1.71 : 1,2.19 : 1,37.53%,38.89%,"24,538","21,585","16'47""","16'47""",51.23%,48.77%,52.51%,50.75%,1.69%,3.45%,1.38%,1.75%
graves,,,,,,,,,,,,,,,,,,,,
gwen,53.04%,46.96%,52.04%,47.96%,1.76 : 1,1.63 : 1,39.29%,37.50%,"24,309","22,835","15'37""","16'21""",53.04%,46.96%,52.51%,49.93%,1.69%,3.47%,1.38%,8.68%
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,48.98%,51.02%,43.29%,56.71%,1.59 : 1,1.79 : 1,37.32%,38.87%,"20,888","29,227","17'10""","14'41""",48.98%,51.02%,52.51%,52.74%,1.69%,0.99%,1.38%,1.18%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,43.90%,56.10%,51.43%,48.57%,1.72 : 1,1.45 : 1,33.76%,31.41%,"22,832","24,560","17'49""","15'52""",43.90%,56.10%,52.51%,49.39%,1.69%,1.69%,1.38%,2.88%
irelia,56.06%,43.94%,46.36%,53.64%,1.75 : 1,1.56 : 1,38.71%,37.34%,"25,173","23,170","16'28""","15'15""",56.06%,43.94%,52.51%,51.34%,1.69%,4.45%,1.38%,13.86%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,54.13%,45.87%,49.37%,50.63%,1.63 : 1,1.62 : 1,38.09%,36.25%,"23,773","20,603","15'16""","15'30""",54.13%,45.87%,52.51%,50.50%,1.69%,6.89%,1.38%,8.89%
jayce,55.32%,44.68%,57.76%,42.24%,1.89 : 1,1.69 : 1,38.77%,38.18%,"21,832","23,688","16'4""","16'53""",55.32%,44.68%,52.51%,48.96%,1.69%,5.00%,1.38%,7.97%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,,,,,
kayle,46.36%,53.64%,53.24%,46.76%,1.68 : 1,1.75 : 1,35.18%,39.41%,"21,818","22,689","16'21""","18'23""",46.36%,53.64%,52.51%,52.38%,1.69%,3.67%,1.38%,4.69%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,48.28%,51.72%,50.72%,49.28%,1.75 : 1,2.08 : 1,38.89%,41.41%,"22,313","25,725","16'18""","17'56""",48.28%,51.72%,52.51%,52.53%,1.69%,2.32%,1.38%,2.01%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,55.56%,44.44%,41.52%,58.48%,1.57 : 1,2.23 : 1,37.65%,46.81%,"24,804","25,681","16'0""","14'40""",55.56%,44.44%,52.51%,52.12%,1.69%,1.49%,1.38%,0.60%
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,49.51%,50.49%,43.48%,56.52%,1.67 : 1,2.19 : 1,39.02%,39.25%,"25,734","19,452","17'0""","16'47""",49.51%,50.49%,52.51%,48.49%,1.69%,4.35%,1.38%,2.71%
leblanc,,,,,,,,,,,,,,,,,,,,
