Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,51.98%,48.02%,48.17%,51.83%,2.69 : 1,2.65 : 1,49.63%,46.28%,"22,634","20,563","17'47""","18'6""",51.98%,48.02%,50.24%,49.44%,5.29%,7.97%,1.36%,2.83%
akali,47.83%,52.17%,45.89%,54.11%,2.33 : 1,2.60 : 1,47.42%,44.42%,"22,143","22,774","17'49""","18'19""",47.83%,52.17%,50.24%,50.95%,5.29%,6.65%,1.36%,10.14%
akshan,48.97%,51.03%,45.95%,54.05%,2.47 : 1,2.46 : 1,49.60%,47.66%,"20,839","24,477","17'28""","17'8""",48.97%,51.03%,50.24%,52.40%,5.29%,2.44%,1.36%,3.51%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,47.78%,52.22%,44.42%,55.58%,2.57 : 1,2.74 : 1,49.48%,45.37%,"23,636","19,278","17'45""","17'12""",47.78%,52.22%,50.24%,52.46%,5.29%,2.22%,1.36%,1.84%
annie,47.30%,52.70%,51.63%,48.37%,2.50 : 1,2.19 : 1,47.76%,45.81%,"21,714","22,631","16'48""","19'1""",47.30%,52.70%,50.24%,51.85%,5.29%,2.78%,1.36%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,45.03%,54.97%,50.80%,49.20%,2.69 : 1,2.99 : 1,49.59%,51.69%,"23,085","24,856","17'13""","18'19""",45.03%,54.97%,50.24%,51.11%,5.29%,2.10%,1.36%,0.64%
azir,52.94%,47.06%,52.94%,47.06%,2.93 : 1,2.00 : 1,49.75%,41.84%,"23,889","22,687","17'25""","18'10""",52.94%,47.06%,50.24%,47.22%,5.29%,2.75%,1.36%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,44.65%,55.35%,53.77%,46.23%,2.71 : 1,2.02 : 1,49.06%,40.92%,"24,214","21,516","17'37""","20'4""",44.65%,55.35%,50.24%,51.17%,5.29%,1.25%,1.36%,1.23%
chogath,48.39%,51.61%,48.68%,51.32%,2.63 : 1,2.58 : 1,50.00%,44.76%,"26,205","22,297","19'33""","19'59""",48.39%,51.61%,50.24%,50.52%,5.29%,0.65%,1.36%,0.89%
corki,58.52%,41.48%,54.20%,45.80%,2.82 : 1,2.00 : 1,47.48%,42.27%,"21,483","21,950","17'27""","16'55""",58.52%,41.48%,50.24%,45.47%,5.29%,0.93%,1.36%,0.48%
darius,,,,,,,,,,,,,,,,,,,,
diana,49.16%,50.84%,50.62%,49.38%,2.59 : 1,2.03 : 1,49.07%,45.71%,"20,263","23,161","17'39""","15'48""",49.16%,50.84%,50.24%,51.76%,5.29%,4.20%,1.36%,5.98%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,47.88%,52.12%,48.30%,51.70%,2.56 : 1,2.34 : 1,46.93%,45.03%,"22,282","22,781","17'51""","17'21""",47.88%,52.12%,50.24%,51.01%,5.29%,3.17%,1.36%,4.70%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
