Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,51.71%,48.29%,53.77%,46.23%,2.38 : 1,1.70 : 1,40.74%,35.52%,"20,196","24,107","17'26""","17'7""",51.71%,48.29%,51.14%,49.91%,3.76%,10.04%,0.43%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,50.81%,49.19%,53.52%,46.48%,2.54 : 1,2.04 : 1,39.82%,37.15%,"19,843","27,238","17'5""","18'19""",50.81%,49.19%,51.14%,49.71%,3.76%,1.62%,0.43%,9.79%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,47.97%,52.03%,53.04%,46.96%,2.30 : 1,1.80 : 1,40.05%,37.29%,"18,603","24,905","16'24""","17'11""",47.97%,52.03%,51.14%,51.16%,3.76%,3.69%,0.43%,1.44%
cassiopeia,44.26%,55.74%,62.57%,37.43%,2.63 : 1,1.72 : 1,42.09%,37.71%,"17,854","24,804","16'18""","18'0""",44.26%,55.74%,51.14%,51.32%,3.76%,0.58%,0.43%,1.11%
chogath,54.57%,45.43%,62.28%,37.72%,2.64 : 1,1.70 : 1,41.42%,36.15%,"27,445","24,609","16'50""","17'32""",54.57%,45.43%,51.14%,51.79%,3.76%,3.23%,0.43%,0.99%
corki,,,,,,,,,,,,,,,,,,,,
darius,50.86%,49.14%,52.30%,47.70%,2.38 : 1,1.65 : 1,40.30%,34.19%,"18,514","21,613","17'11""","17'3""",50.86%,49.14%,51.14%,50.09%,3.76%,5.74%,0.43%,13.71%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,51.00%,49.00%,59.96%,40.04%,2.83 : 1,1.53 : 1,40.86%,32.36%,"29,117","29,055","17'14""","16'3""",51.00%,49.00%,51.14%,50.47%,3.76%,7.37%,0.43%,15.62%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
