Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,49.61%,50.39%,2.76 : 1,2.59 : 1,52.96%,53.41%,"20,187","17,956",49.61%,50.39%,51.07%,49.90%,7.00%,1.99%,10.87%,1.31%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,48.54%,51.46%,2.99 : 1,2.89 : 1,55.22%,53.32%,"18,767","15,754",48.54%,51.46%,51.07%,51.21%,7.00%,1.95%,10.87%,3.82%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,51.56%,48.44%,3.01 : 1,2.32 : 1,55.33%,53.76%,"22,233","22,205",51.56%,48.44%,51.07%,52.51%,7.00%,3.97%,10.87%,4.30%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,51.89%,48.11%,3.04 : 1,2.51 : 1,54.48%,54.79%,"20,409","21,917",51.89%,48.11%,51.07%,51.14%,7.00%,5.34%,10.87%,6.01%
drmundo,50.19%,49.81%,3.23 : 1,2.82 : 1,55.96%,49.95%,"23,832","20,714",50.19%,49.81%,51.07%,49.05%,7.00%,1.62%,10.87%,15.14%
draven,,,,,,,,,,,,,,,,
ekko,49.19%,50.81%,2.86 : 1,2.96 : 1,53.87%,54.96%,"20,247","21,075",49.19%,50.81%,51.07%,51.60%,7.00%,6.36%,10.87%,4.77%
elise,50.92%,49.08%,2.79 : 1,2.82 : 1,54.09%,54.97%,"18,705","19,949",50.92%,49.08%,51.07%,50.77%,7.00%,3.31%,10.87%,5.58%
evelynn,52.55%,47.45%,3.05 : 1,3.01 : 1,54.16%,55.78%,"20,494","22,137",52.55%,47.45%,51.07%,51.04%,7.00%,2.68%,10.87%,3.75%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,50.54%,49.46%,2.92 : 1,2.83 : 1,53.88%,54.18%,"20,659","21,914",50.54%,49.46%,51.07%,52.30%,7.00%,3.04%,10.87%,3.27%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,51.88%,48.13%,2.84 : 1,2.79 : 1,54.27%,54.00%,"20,591","22,070",51.88%,48.13%,51.07%,50.90%,7.00%,1.19%,10.87%,1.66%
graves,50.71%,49.29%,2.92 : 1,2.69 : 1,52.21%,54.24%,"19,424","23,094",50.71%,49.29%,51.07%,49.63%,7.00%,5.71%,10.87%,4.42%
gwen,53.06%,46.94%,3.19 : 1,2.37 : 1,53.02%,51.70%,"18,844","21,063",53.06%,46.94%,51.07%,50.83%,7.00%,1.25%,10.87%,8.42%
hecarim,51.39%,48.61%,2.98 : 1,2.85 : 1,54.69%,55.88%,"20,679","19,442",51.39%,48.61%,51.07%,49.84%,7.00%,4.29%,10.87%,4.65%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,45.71%,54.29%,2.63 : 1,4.38 : 1,55.12%,63.18%,"19,376","12,823",45.71%,54.29%,51.07%,51.95%,7.00%,1.45%,10.87%,0.83%
janna,,,,,,,,,,,,,,,,
