Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,50.72%,49.28%,48.87%,51.13%,2.43 : 1,2.59 : 1,52.79%,56.68%,50.72%,49.28%,51.85%,51.08%,2.96%,6.23%,6.73%,2.63%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,65.22%,34.78%,52.00%,48.00%,2.87 : 1,2.13 : 1,49.18%,51.68%,65.22%,34.78%,51.85%,45.21%,2.96%,0.56%,6.73%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,46.81%,53.19%,45.67%,54.33%,2.22 : 1,2.99 : 1,50.52%,58.55%,46.81%,53.19%,51.85%,51.13%,2.96%,5.51%,6.73%,1.53%
belveth,,,,,,,,,,,,,,,,
blitzcrank,47.55%,52.45%,43.21%,56.79%,2.15 : 1,2.74 : 1,51.60%,54.90%,47.55%,52.45%,51.85%,50.72%,2.96%,4.93%,6.73%,12.54%
brand,50.67%,49.33%,48.44%,51.56%,2.29 : 1,1.98 : 1,46.96%,47.09%,50.67%,49.33%,51.85%,48.86%,2.96%,1.45%,6.73%,1.11%
braum,49.68%,50.32%,42.78%,57.22%,2.24 : 1,3.26 : 1,52.82%,60.05%,49.68%,50.32%,51.85%,52.43%,2.96%,8.00%,6.73%,14.36%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,51.72%,48.28%,44.21%,55.79%,2.31 : 1,2.05 : 1,50.67%,53.51%,51.72%,48.28%,51.85%,52.54%,2.96%,1.60%,6.73%,5.37%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,58.33%,41.67%,45.71%,54.29%,2.23 : 1,2.45 : 1,50.24%,50.88%,58.33%,41.67%,51.85%,51.12%,2.96%,1.01%,6.73%,3.04%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,50.00%,50.00%,46.69%,53.31%,2.23 : 1,2.54 : 1,52.33%,57.21%,50.00%,50.00%,51.85%,50.98%,2.96%,0.60%,6.73%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,40.00%,60.00%,50.00%,50.00%,1.98 : 1,2.44 : 1,49.27%,53.85%,40.00%,60.00%,51.85%,48.99%,2.96%,0.76%,6.73%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,46.72%,53.28%,38.88%,61.12%,2.06 : 1,3.71 : 1,48.05%,60.87%,46.72%,53.28%,51.85%,52.37%,2.96%,4.91%,6.73%,1.62%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,51.63%,48.37%,41.40%,58.60%,2.23 : 1,2.87 : 1,49.52%,57.32%,51.63%,48.37%,51.85%,50.07%,2.96%,9.39%,6.73%,5.32%
