Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,48.33%,51.67%,55.21%,44.79%,2.32 : 1,2.40 : 1,52.12%,55.55%,48.33%,51.67%,50.23%,51.08%,5.92%,6.23%,23.61%,2.63%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,52.56%,47.44%,61.82%,38.18%,2.25 : 1,1.87 : 1,48.73%,48.58%,52.56%,47.44%,50.23%,45.31%,5.92%,0.55%,23.61%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,48.83%,51.17%,51.84%,48.16%,2.24 : 1,2.79 : 1,49.99%,58.50%,48.83%,51.17%,50.23%,51.16%,5.92%,5.51%,23.61%,1.54%
belveth,,,,,,,,,,,,,,,,
blitzcrank,49.85%,50.15%,52.35%,47.65%,2.23 : 1,2.34 : 1,51.62%,52.69%,49.85%,50.15%,50.23%,50.72%,5.92%,4.93%,23.61%,12.54%
brand,51.11%,48.89%,59.96%,40.04%,2.22 : 1,1.65 : 1,49.40%,47.56%,51.11%,48.89%,50.23%,48.89%,5.92%,1.45%,23.61%,1.11%
braum,48.48%,51.52%,53.52%,46.48%,2.38 : 1,2.72 : 1,53.23%,58.57%,48.48%,51.52%,50.23%,52.43%,5.92%,8.00%,23.61%,14.36%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,48.78%,51.22%,49.14%,50.86%,2.09 : 1,2.06 : 1,48.78%,51.72%,48.78%,51.22%,50.23%,52.55%,5.92%,1.59%,23.61%,5.36%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,50.00%,50.00%,55.39%,44.61%,2.11 : 1,2.09 : 1,48.89%,49.50%,50.00%,50.00%,50.23%,51.13%,5.92%,1.01%,23.61%,3.04%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,55.21%,44.79%,59.37%,40.63%,2.59 : 1,2.27 : 1,52.20%,55.54%,55.21%,44.79%,50.23%,50.98%,5.92%,0.60%,23.61%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,50.00%,50.00%,55.82%,44.18%,2.07 : 1,1.99 : 1,47.93%,52.24%,50.00%,50.00%,50.23%,49.16%,5.92%,0.76%,23.61%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,45.51%,54.49%,49.11%,50.89%,2.21 : 1,3.10 : 1,50.20%,59.82%,45.51%,54.49%,50.23%,52.34%,5.92%,4.92%,23.61%,1.63%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,53.33%,46.67%,51.70%,48.30%,2.25 : 1,2.47 : 1,50.14%,56.28%,53.33%,46.67%,50.23%,50.11%,5.92%,9.39%,23.61%,5.32%
