Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,51.71%,48.29%,55.46%,44.54%,2.26 : 1,2.22 : 1,45.86%,45.11%,"25,277","21,958","17'34""","17'18""",51.71%,48.29%,51.41%,49.42%,2.44%,7.97%,1.07%,2.83%
akali,54.68%,45.32%,56.21%,43.79%,2.18 : 1,1.93 : 1,45.91%,42.69%,"25,425","23,560","16'33""","18'28""",54.68%,45.32%,51.41%,50.93%,2.44%,6.65%,1.07%,10.16%
akshan,50.83%,49.17%,53.27%,46.73%,2.25 : 1,2.30 : 1,44.92%,49.82%,"24,360","25,492","16'53""","17'15""",50.83%,49.17%,51.41%,52.43%,2.44%,2.44%,1.07%,3.52%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,50.45%,49.55%,50.96%,49.04%,2.18 : 1,2.53 : 1,47.33%,48.27%,"26,657","22,284","17'11""","16'18""",50.45%,49.55%,51.41%,52.45%,2.44%,2.22%,1.07%,1.84%
annie,48.86%,51.14%,56.45%,43.55%,2.12 : 1,1.98 : 1,44.62%,46.69%,"22,479","23,829","16'35""","18'49""",48.86%,51.14%,51.41%,51.86%,2.44%,2.79%,1.07%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,47.22%,52.78%,65.97%,34.03%,2.57 : 1,2.06 : 1,47.37%,48.11%,"26,752","23,599","15'56""","19'5""",47.22%,52.78%,51.41%,51.06%,2.44%,2.10%,1.07%,0.64%
azir,59.74%,40.26%,61.80%,38.20%,2.73 : 1,1.55 : 1,46.00%,38.04%,"23,815","21,788","16'50""","16'18""",59.74%,40.26%,51.41%,47.21%,2.44%,2.75%,1.07%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,51.28%,48.72%,58.63%,41.37%,2.23 : 1,1.58 : 1,44.47%,39.35%,"23,607","21,605","16'8""","17'34""",51.28%,48.72%,51.41%,51.16%,2.44%,1.25%,1.07%,1.23%
chogath,55.88%,44.12%,54.63%,45.37%,2.31 : 1,1.96 : 1,46.74%,42.26%,"23,301","21,411","16'47""","16'6""",55.88%,44.12%,51.41%,50.64%,2.44%,0.65%,1.07%,0.90%
corki,45.65%,54.35%,51.09%,48.91%,2.32 : 1,1.99 : 1,46.53%,43.76%,"23,230","24,438","17'24""","15'49""",45.65%,54.35%,51.41%,45.52%,2.44%,0.93%,1.07%,0.48%
darius,,,,,,,,,,,,,,,,,,,,
diana,51.64%,48.36%,52.17%,47.83%,2.12 : 1,1.86 : 1,45.68%,45.26%,"23,210","25,221","17'3""","15'18""",51.64%,48.36%,51.41%,51.77%,2.44%,4.20%,1.07%,5.99%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,54.92%,45.08%,56.50%,43.50%,2.34 : 1,1.86 : 1,46.15%,43.84%,"26,160","22,612","15'51""","16'37""",54.92%,45.08%,51.41%,51.02%,2.44%,3.17%,1.07%,4.70%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,45.20%,54.80%,50.83%,49.17%,1.93 : 1,2.31 : 1,45.36%,45.99%,"23,847","22,991","16'59""","16'15""",45.20%,54.80%,51.41%,50.30%,2.44%,2.70%,1.07%,3.05%
galio,51.16%,48.84%,56.85%,43.15%,2.39 : 1,2.25 : 1,49.47%,49.05%,"24,359","19,195","17'7""","18'19""",51.16%,48.84%,51.41%,51.28%,2.44%,4.50%,1.07%,3.30%
gangplank,43.75%,56.25%,64.10%,35.90%,2.19 : 1,2.12 : 1,46.94%,41.80%,"26,876","27,282","15'55""","16'26""",43.75%,56.25%,51.41%,51.87%,2.44%,0.57%,1.07%,4.49%
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,41.51%,58.49%,48.43%,51.57%,1.93 : 1,2.45 : 1,44.05%,45.87%,"23,938","24,226","15'16""","15'26""",41.51%,58.49%,51.41%,50.85%,2.44%,0.74%,1.07%,1.58%
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,50.81%,49.19%,58.08%,41.92%,2.21 : 1,2.13 : 1,45.09%,45.12%,"24,731","25,861","18'22""","16'45""",50.81%,49.19%,51.41%,50.33%,2.44%,5.58%,1.07%,3.57%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,47.62%,52.38%,59.20%,40.80%,2.42 : 1,1.44 : 1,46.98%,40.46%,"25,782","23,053","17'5""","14'56""",47.62%,52.38%,51.41%,49.53%,2.44%,2.64%,1.07%,13.71%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,49.12%,50.88%,55.20%,44.80%,2.21 : 1,1.79 : 1,48.24%,43.84%,"23,930","23,503","16'20""","15'33""",49.12%,50.88%,51.41%,48.81%,2.44%,0.93%,1.07%,7.73%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,51.28%,48.72%,59.33%,40.67%,2.29 : 1,2.09 : 1,45.11%,43.86%,"25,378","21,901","16'11""","17'24""",51.28%,48.72%,51.41%,50.42%,2.44%,2.49%,1.07%,2.51%
katarina,50.35%,49.65%,52.87%,47.13%,2.15 : 1,2.19 : 1,46.99%,49.17%,"25,775","26,054","16'50""","17'11""",50.35%,49.65%,51.41%,51.62%,2.44%,5.90%,1.07%,6.86%
kayle,47.27%,52.73%,56.69%,43.31%,2.43 : 1,1.99 : 1,45.75%,42.91%,"26,094","22,044","16'30""","19'36""",47.27%,52.73%,51.41%,52.22%,2.44%,1.63%,1.07%,4.57%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,50.00%,50.00%,48.92%,51.08%,2.29 : 1,2.08 : 1,45.90%,43.76%,"22,109","24,939","17'33""","16'52""",50.00%,50.00%,51.41%,52.41%,2.44%,1.04%,1.07%,1.93%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,,,,,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,,,,,
leblanc,44.07%,55.93%,42.61%,57.39%,1.74 : 1,2.64 : 1,42.72%,46.76%,"22,989","24,838","17'16""","17'5""",44.07%,55.93%,51.41%,50.71%,2.44%,5.23%,1.07%,21.72%
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,48.91%,51.09%,55.19%,44.81%,2.22 : 1,2.15 : 1,47.40%,46.95%,"23,261","20,493","16'54""","16'34""",48.91%,51.09%,51.41%,51.91%,2.44%,3.20%,1.07%,1.49%
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,51.13%,48.87%,55.18%,44.82%,2.26 : 1,2.47 : 1,44.56%,48.39%,"22,954","22,800","18'12""","16'51""",51.13%,48.87%,51.41%,51.25%,2.44%,4.02%,1.07%,3.15%
malphite,46.07%,53.93%,43.89%,56.11%,2.09 : 1,2.59 : 1,46.96%,47.22%,"24,419","24,849","17'10""","16'50""",46.07%,53.93%,51.41%,52.87%,2.44%,0.79%,1.07%,7.92%
malzahar,48.72%,51.28%,57.46%,42.54%,2.28 : 1,2.03 : 1,44.90%,43.05%,"23,459","23,284","18'13""","15'31""",48.72%,51.28%,51.41%,51.28%,2.44%,4.98%,1.07%,6.83%
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,,,,,,,,,,,,,,,,,,,,
morgana,62.50%,37.50%,47.62%,52.38%,2.46 : 1,2.64 : 1,46.36%,49.35%,"28,073","23,532","16'16""","18'19""",62.50%,37.50%,51.41%,51.56%,2.44%,0.50%,1.07%,8.37%
