Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,54.38%,45.62%,40.73%,59.27%,1.89 : 1,1.88 : 1,44.71%,37.71%,"27,557","21,868","19'29""","15'2""",54.38%,45.62%,53.47%,49.88%,1.87%,10.04%,1.85%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,51.67%,48.33%,39.41%,60.59%,1.86 : 1,2.23 : 1,44.04%,39.60%,"25,454","22,487","19'28""","15'44""",51.67%,48.33%,53.47%,49.78%,1.87%,1.62%,1.85%,9.80%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,51.55%,48.45%,42.52%,57.48%,1.94 : 1,2.07 : 1,42.76%,40.94%,"25,790","21,306","18'5""","16'20""",51.55%,48.45%,53.47%,51.16%,1.87%,3.69%,1.85%,1.45%
cassiopeia,64.29%,35.71%,57.25%,42.75%,2.22 : 1,1.26 : 1,44.61%,32.01%,"26,001","19,946","17'51""","15'47""",64.29%,35.71%,53.47%,51.43%,1.87%,0.58%,1.85%,1.11%
chogath,46.67%,53.33%,50.12%,49.88%,2.01 : 1,1.93 : 1,44.17%,35.31%,"30,844","20,205","19'9""","15'53""",46.67%,53.33%,53.47%,51.78%,1.87%,3.23%,1.85%,1.00%
corki,,,,,,,,,,,,,,,,,,,,
darius,55.80%,44.20%,45.16%,54.84%,2.04 : 1,1.78 : 1,45.06%,34.70%,"28,057","16,443","18'20""","15'42""",55.80%,44.20%,53.47%,50.08%,1.87%,5.73%,1.85%,13.72%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,50.51%,49.49%,55.74%,44.26%,2.19 : 1,1.65 : 1,42.78%,33.31%,"35,401","22,736","18'24""","14'51""",50.51%,49.49%,53.47%,50.44%,1.87%,7.37%,1.85%,15.65%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,51.43%,48.57%,44.69%,55.31%,2.06 : 1,1.65 : 1,44.06%,35.50%,"28,535","20,842","18'4""","15'38""",51.43%,48.57%,53.47%,51.35%,1.87%,4.66%,1.85%,6.93%
fizz,,,,,,,,,,,,,,,,,,,,
galio,50.00%,50.00%,53.66%,46.34%,2.06 : 1,2.42 : 1,44.60%,44.07%,"27,744","16,382","17'41""","15'48""",50.00%,50.00%,53.47%,48.96%,1.87%,0.54%,1.85%,2.78%
gangplank,55.81%,44.19%,43.76%,56.24%,2.07 : 1,2.28 : 1,43.47%,42.48%,"27,734","24,126","18'43""","15'11""",55.81%,44.19%,53.47%,50.75%,1.87%,4.84%,1.85%,4.86%
garen,58.33%,41.67%,49.60%,50.40%,2.08 : 1,1.87 : 1,42.24%,33.37%,"30,838","16,617","18'10""","16'22""",58.33%,41.67%,53.47%,50.53%,1.87%,3.86%,1.85%,2.30%
gnar,60.84%,39.16%,46.11%,53.89%,2.19 : 1,1.80 : 1,45.78%,37.09%,"28,039","20,390","18'22""","15'52""",60.84%,39.16%,53.47%,49.42%,1.87%,3.21%,1.85%,0.95%
gragas,53.33%,46.67%,39.44%,60.56%,1.81 : 1,2.38 : 1,41.07%,39.47%,"27,078","22,288","19'38""","15'24""",53.33%,46.67%,53.47%,50.78%,1.87%,3.45%,1.85%,1.75%
graves,,,,,,,,,,,,,,,,,,,,
gwen,47.96%,52.04%,47.59%,52.41%,1.88 : 1,1.77 : 1,40.84%,34.48%,"23,869","21,012","18'19""","15'22""",47.96%,52.04%,53.47%,49.99%,1.87%,3.47%,1.85%,8.69%
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,54.29%,45.71%,55.81%,44.19%,2.33 : 1,1.52 : 1,44.32%,33.76%,"24,637","27,805","19'42""","14'36""",54.29%,45.71%,53.47%,52.79%,1.87%,0.99%,1.85%,1.18%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,66.67%,33.33%,55.43%,44.57%,2.87 : 1,1.17 : 1,45.44%,29.79%,"26,364","19,763","17'50""","15'2""",66.67%,33.33%,53.47%,49.48%,1.87%,1.69%,1.85%,2.88%
irelia,43.70%,56.30%,43.22%,56.78%,1.94 : 1,1.78 : 1,46.02%,39.31%,"23,613","21,447","19'43""","13'40""",43.70%,56.30%,53.47%,51.35%,1.87%,4.45%,1.85%,13.84%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,56.95%,43.05%,50.18%,49.82%,2.24 : 1,1.44 : 1,44.15%,32.30%,"26,467","16,522","17'49""","15'19""",56.95%,43.05%,53.47%,50.52%,1.87%,6.89%,1.85%,8.89%
jayce,56.88%,43.12%,53.16%,46.84%,2.26 : 1,1.66 : 1,47.25%,39.67%,"26,257","22,833","18'36""","15'21""",56.88%,43.12%,53.47%,48.96%,1.87%,4.99%,1.85%,7.94%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,,,,,
kayle,60.89%,39.11%,52.66%,47.34%,2.11 : 1,1.64 : 1,42.39%,38.17%,"27,892","19,307","17'55""","17'14""",60.89%,39.11%,53.47%,52.36%,1.87%,3.68%,1.85%,4.70%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,44.06%,55.94%,42.43%,57.57%,1.80 : 1,2.22 : 1,43.08%,42.67%,"24,618","27,000","19'21""","15'59""",44.06%,55.94%,53.47%,52.52%,1.87%,2.32%,1.85%,2.01%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,58.18%,41.82%,45.79%,54.21%,2.15 : 1,1.96 : 1,44.11%,41.48%,"26,740","20,519","18'31""","14'49""",58.18%,41.82%,53.47%,52.06%,1.87%,1.49%,1.85%,0.60%
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,51.03%,48.97%,39.00%,61.00%,2.01 : 1,2.05 : 1,42.52%,35.02%,"24,997","15,939","19'32""","15'43""",51.03%,48.97%,53.47%,48.48%,1.87%,4.35%,1.85%,2.71%
leblanc,,,,,,,,,,,,,,,,,,,,
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,,,,,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,,,,,
malphite,46.33%,53.67%,37.28%,62.72%,1.86 : 1,2.69 : 1,44.66%,41.32%,"22,957","21,126","19'38""","15'13""",46.33%,53.67%,53.47%,52.30%,1.87%,4.65%,1.85%,8.60%
malzahar,,,,,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,50.94%,49.06%,43.32%,56.68%,1.98 : 1,2.09 : 1,43.80%,37.86%,"26,443","21,862","19'23""","15'27""",50.94%,49.06%,53.47%,52.03%,1.87%,5.23%,1.85%,5.98%
morgana,,,,,,,,,,,,,,,,,,,,
naafiri,,,,,,,,,,,,,,,,,,,,
nami,,,,,,,,,,,,,,,,,,,,
nasus,45.58%,54.42%,46.27%,53.73%,2.08 : 1,1.94 : 1,43.89%,35.91%,"28,439","18,066","18'45""","16'3""",45.58%,54.42%,53.47%,51.40%,1.87%,2.96%,1.85%,3.26%
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,,,,,,,,,,,,,,,,,,,,
nidalee,,,,,,,,,,,,,,,,,,,,
nilah,,,,,,,,,,,,,,,,,,,,
nocturne,,,,,,,,,,,,,,,,,,,,
nunu,,,,,,,,,,,,,,,,,,,,
olaf,56.52%,43.48%,42.53%,57.47%,2.13 : 1,1.88 : 1,46.11%,37.53%,"25,519","20,899","18'43""","15'28""",56.52%,43.48%,53.47%,52.50%,1.87%,1.69%,1.85%,1.38%
orianna,,,,,,,,,,,,,,,,,,,,
ornn,50.70%,49.30%,35.51%,64.49%,1.85 : 1,2.71 : 1,41.36%,40.70%,"24,691","17,323","18'54""","15'11""",50.70%,49.30%,53.47%,51.21%,1.87%,3.77%,1.85%,0.43%
pantheon,45.92%,54.08%,42.02%,57.98%,1.67 : 1,2.19 : 1,44.08%,43.28%,"23,242","23,742","18'57""","15'54""",45.92%,54.08%,53.47%,51.42%,1.87%,2.16%,1.85%,10.59%
