Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,50.94%,49.06%,52.54%,47.46%,3.24 : 1,2.78 : 1,61.23%,58.44%,50.94%,49.06%,50.75%,51.09%,5.43%,6.22%,0.47%,2.62%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,60.34%,39.66%,64.78%,35.22%,4.07 : 1,2.06 : 1,57.96%,52.00%,60.34%,39.66%,50.75%,45.31%,5.43%,0.55%,0.47%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,47.49%,52.51%,48.91%,51.09%,2.92 : 1,3.35 : 1,57.76%,60.80%,47.49%,52.51%,50.75%,51.16%,5.43%,5.51%,0.47%,1.54%
belveth,,,,,,,,,,,,,,,,
blitzcrank,53.74%,46.26%,50.93%,49.07%,3.04 : 1,2.57 : 1,60.20%,53.88%,53.74%,46.26%,50.75%,50.73%,5.43%,4.93%,0.47%,12.51%
brand,54.97%,45.03%,53.11%,46.89%,2.90 : 1,1.99 : 1,56.70%,49.87%,54.97%,45.03%,50.75%,48.89%,5.43%,1.45%,0.47%,1.11%
braum,51.19%,48.81%,50.95%,49.05%,3.22 : 1,3.04 : 1,60.59%,59.75%,51.19%,48.81%,50.75%,52.37%,5.43%,7.99%,0.47%,14.34%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,48.79%,51.21%,49.56%,50.44%,2.90 : 1,2.22 : 1,59.57%,52.50%,48.79%,51.21%,50.75%,52.55%,5.43%,1.59%,0.47%,5.36%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,49.02%,50.98%,50.59%,49.41%,3.02 : 1,2.48 : 1,59.24%,53.19%,49.02%,50.98%,50.75%,51.13%,5.43%,1.01%,0.47%,3.04%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,42.27%,57.73%,55.00%,45.00%,2.86 : 1,2.81 : 1,60.59%,56.77%,42.27%,57.73%,50.75%,50.93%,5.43%,0.60%,0.47%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,55.32%,44.68%,48.37%,51.63%,2.97 : 1,2.32 : 1,57.50%,54.43%,55.32%,44.68%,50.75%,49.16%,5.43%,0.76%,0.47%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,46.04%,53.96%,48.11%,51.89%,2.96 : 1,3.68 : 1,58.31%,61.59%,46.04%,53.96%,50.75%,52.34%,5.43%,4.92%,0.47%,1.63%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,51.79%,48.21%,49.41%,50.59%,3.20 : 1,2.89 : 1,59.36%,58.08%,51.79%,48.21%,50.75%,50.11%,5.43%,9.39%,0.47%,5.32%
