Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,50.00%,50.00%,3.22 : 1,2.69 : 1,56.53%,52.51%,"16,023","20,051",50.00%,50.00%,52.00%,49.92%,1.51%,2.00%,2.79%,1.31%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,44.21%,55.79%,3.14 : 1,2.92 : 1,55.90%,51.53%,"15,835","17,895",44.21%,55.79%,52.00%,51.26%,1.51%,1.95%,2.79%,3.83%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,48.89%,51.11%,2.95 : 1,2.60 : 1,53.99%,53.24%,"15,389","22,524",48.89%,51.11%,52.00%,52.47%,1.51%,3.98%,2.79%,4.31%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,52.47%,47.53%,3.55 : 1,2.55 : 1,56.09%,54.35%,"15,047","23,220",52.47%,47.53%,52.00%,51.17%,1.51%,5.34%,2.79%,6.02%
drmundo,48.78%,51.22%,3.58 : 1,2.91 : 1,56.34%,47.35%,"18,315","23,949",48.78%,51.22%,52.00%,49.10%,1.51%,1.62%,2.79%,15.18%
draven,,,,,,,,,,,,,,,,
ekko,46.12%,53.88%,3.15 : 1,3.21 : 1,53.99%,54.66%,"15,113","22,791",46.12%,53.88%,52.00%,51.58%,1.51%,6.36%,2.79%,4.77%
elise,52.21%,47.79%,3.27 : 1,2.94 : 1,55.62%,53.41%,"16,129","22,436",52.21%,47.79%,52.00%,50.76%,1.51%,3.31%,2.79%,5.56%
evelynn,61.22%,38.78%,3.57 : 1,2.65 : 1,51.64%,52.36%,"14,845","23,488",61.22%,38.78%,52.00%,51.04%,1.51%,2.69%,2.79%,3.76%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,45.36%,54.64%,3.58 : 1,2.97 : 1,55.81%,54.42%,"15,368","22,185",45.36%,54.64%,52.00%,52.31%,1.51%,3.04%,2.79%,3.28%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,51.43%,48.57%,3.07 : 1,3.52 : 1,55.11%,57.18%,"15,474","25,525",51.43%,48.57%,52.00%,50.97%,1.51%,1.19%,2.79%,1.66%
graves,54.07%,45.93%,3.49 : 1,2.48 : 1,51.47%,51.58%,"13,282","21,044",54.07%,45.93%,52.00%,49.65%,1.51%,5.70%,2.79%,4.41%
gwen,45.90%,54.10%,3.46 : 1,2.40 : 1,53.56%,51.36%,"13,650","22,729",45.90%,54.10%,52.00%,50.89%,1.51%,1.24%,2.79%,8.42%
hecarim,53.85%,46.15%,3.27 : 1,2.86 : 1,54.96%,57.93%,"14,474","21,392",53.85%,46.15%,52.00%,49.81%,1.51%,4.29%,2.79%,4.67%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,37.50%,62.50%,2.52 : 1,4.80 : 1,50.98%,60.68%,"14,567","14,981",37.50%,62.50%,52.00%,51.97%,1.51%,1.45%,2.79%,0.83%
janna,,,,,,,,,,,,,,,,
