Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,64.58%,35.42%,3.31 : 1,2.30 : 1,56.29%,55.47%,"19,999","19,343",64.58%,35.42%,52.02%,49.92%,1.18%,2.00%,0.38%,1.31%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,59.42%,40.58%,3.09 : 1,2.83 : 1,53.05%,53.76%,"16,502","17,293",59.42%,40.58%,52.02%,51.26%,1.18%,1.95%,0.38%,3.83%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,54.17%,45.83%,3.39 : 1,2.42 : 1,57.41%,54.32%,"19,244","23,482",54.17%,45.83%,52.02%,52.47%,1.18%,3.98%,0.38%,4.31%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,53.60%,46.40%,3.22 : 1,2.40 : 1,56.21%,52.44%,"16,942","20,644",53.60%,46.40%,52.02%,51.17%,1.18%,5.34%,0.38%,6.02%
drmundo,58.93%,41.07%,3.42 : 1,2.79 : 1,54.61%,53.85%,"20,092","22,774",58.93%,41.07%,52.02%,49.10%,1.18%,1.62%,0.38%,15.18%
draven,,,,,,,,,,,,,,,,
ekko,48.04%,51.96%,3.14 : 1,2.96 : 1,56.30%,54.57%,"18,137","22,274",48.04%,51.96%,52.02%,51.58%,1.18%,6.36%,0.38%,4.77%
elise,47.22%,52.78%,2.71 : 1,2.80 : 1,54.64%,54.35%,"16,149","21,142",47.22%,52.78%,52.02%,50.76%,1.18%,3.31%,0.38%,5.56%
evelynn,47.44%,52.56%,2.93 : 1,2.64 : 1,55.63%,51.24%,"16,517","20,741",47.44%,52.56%,52.02%,51.04%,1.18%,2.69%,0.38%,3.76%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,52.22%,47.78%,3.26 : 1,2.66 : 1,54.00%,53.63%,"17,426","21,466",52.22%,47.78%,52.02%,52.31%,1.18%,3.04%,0.38%,3.28%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,52.94%,47.06%,2.67 : 1,3.08 : 1,52.95%,49.52%,"15,188","19,441",52.94%,47.06%,52.02%,50.97%,1.18%,1.19%,0.38%,1.66%
graves,43.41%,56.59%,2.97 : 1,2.80 : 1,54.28%,53.54%,"17,175","23,872",43.41%,56.59%,52.02%,49.65%,1.18%,5.70%,0.38%,4.41%
gwen,28.95%,71.05%,2.89 : 1,3.16 : 1,54.63%,50.65%,"17,541","26,133",28.95%,71.05%,52.02%,50.89%,1.18%,1.24%,0.38%,8.42%
hecarim,46.27%,53.73%,2.99 : 1,3.18 : 1,55.41%,55.71%,"17,023","20,337",46.27%,53.73%,52.02%,49.81%,1.18%,4.29%,0.38%,4.67%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,51.35%,48.65%,2.95 : 1,3.90 : 1,57.41%,63.70%,"16,411","11,982",51.35%,48.65%,52.02%,51.97%,1.18%,1.45%,0.38%,0.83%
janna,,,,,,,,,,,,,,,,
