Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,48.73%,51.27%,51.12%,48.88%,2.96 : 1,2.74 : 1,63.47%,59.13%,48.73%,51.27%,51.22%,51.09%,5.50%,6.22%,2.71%,2.62%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,43.86%,56.14%,56.02%,43.98%,2.61 : 1,2.95 : 1,58.79%,55.89%,43.86%,56.14%,51.22%,45.31%,5.50%,0.55%,2.71%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,51.03%,48.97%,51.12%,48.88%,3.03 : 1,3.15 : 1,61.88%,61.55%,51.03%,48.97%,51.22%,51.16%,5.50%,5.51%,2.71%,1.54%
belveth,,,,,,,,,,,,,,,,
blitzcrank,53.69%,46.31%,49.77%,50.23%,2.94 : 1,2.51 : 1,62.49%,54.78%,53.69%,46.31%,51.22%,50.73%,5.50%,4.93%,2.71%,12.51%
brand,49.66%,50.34%,56.55%,43.45%,2.98 : 1,1.95 : 1,62.72%,49.75%,49.66%,50.34%,51.22%,48.89%,5.50%,1.45%,2.71%,1.11%
braum,48.43%,51.57%,48.63%,51.37%,2.93 : 1,3.03 : 1,64.23%,60.73%,48.43%,51.57%,51.22%,52.37%,5.50%,7.99%,2.71%,14.34%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,52.08%,47.92%,52.65%,47.35%,3.11 : 1,2.11 : 1,64.38%,53.47%,52.08%,47.92%,51.22%,52.55%,5.50%,1.59%,2.71%,5.36%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,51.75%,48.25%,53.57%,46.43%,3.33 : 1,2.26 : 1,65.02%,52.44%,51.75%,48.25%,51.22%,51.13%,5.50%,1.01%,2.71%,3.04%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,57.83%,42.17%,56.23%,43.77%,3.02 : 1,2.35 : 1,62.06%,60.59%,57.83%,42.17%,51.22%,50.93%,5.50%,0.60%,2.71%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,48.94%,51.06%,49.72%,50.28%,2.78 : 1,2.43 : 1,58.23%,55.83%,48.94%,51.06%,51.22%,49.16%,5.50%,0.76%,2.71%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,49.61%,50.39%,46.86%,53.14%,2.96 : 1,3.38 : 1,60.96%,61.50%,49.61%,50.39%,51.22%,52.34%,5.50%,4.92%,2.71%,1.63%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,50.39%,49.61%,48.24%,51.76%,2.96 : 1,2.94 : 1,62.21%,59.10%,50.39%,49.61%,51.22%,50.11%,5.50%,9.39%,2.71%,5.32%
