Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,46.75%,53.25%,51.37%,48.63%,2.82 : 1,2.71 : 1,58.84%,56.25%,46.75%,53.25%,49.41%,51.09%,1.45%,6.22%,0.19%,2.62%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,71.43%,28.57%,66.00%,34.00%,3.73 : 1,1.83 : 1,53.65%,50.53%,71.43%,28.57%,49.41%,45.31%,1.45%,0.55%,0.19%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,46.03%,53.97%,43.50%,56.50%,2.56 : 1,3.42 : 1,57.47%,59.17%,46.03%,53.97%,49.41%,51.16%,1.45%,5.51%,0.19%,1.54%
belveth,,,,,,,,,,,,,,,,
blitzcrank,47.37%,52.63%,44.05%,55.95%,2.41 : 1,2.77 : 1,55.15%,54.30%,47.37%,52.63%,49.41%,50.73%,1.45%,4.93%,0.19%,12.51%
brand,42.86%,57.14%,52.63%,47.37%,2.90 : 1,2.13 : 1,56.59%,46.55%,42.86%,57.14%,49.41%,48.89%,1.45%,1.45%,0.19%,1.11%
braum,42.58%,57.42%,45.59%,54.41%,2.78 : 1,3.32 : 1,59.32%,59.60%,42.58%,57.42%,49.41%,52.37%,1.45%,7.99%,0.19%,14.34%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,46.00%,54.00%,51.83%,48.17%,2.61 : 1,2.08 : 1,56.72%,49.90%,46.00%,54.00%,49.41%,52.55%,1.45%,1.59%,0.19%,5.36%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,34.38%,65.63%,49.54%,50.46%,2.48 : 1,2.69 : 1,56.14%,49.28%,34.38%,65.63%,49.41%,51.13%,1.45%,1.01%,0.19%,3.04%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,36.84%,63.16%,53.95%,46.05%,2.80 : 1,2.52 : 1,55.60%,52.59%,36.84%,63.16%,49.41%,50.93%,1.45%,0.60%,0.19%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,37.93%,62.07%,50.50%,49.50%,2.02 : 1,3.20 : 1,53.65%,53.92%,37.93%,62.07%,49.41%,49.16%,1.45%,0.76%,0.19%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,47.55%,52.45%,47.29%,52.71%,2.71 : 1,3.51 : 1,54.56%,59.39%,47.55%,52.45%,49.41%,52.34%,1.45%,4.92%,0.19%,1.63%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,46.38%,53.62%,44.39%,55.61%,2.74 : 1,3.05 : 1,56.79%,56.48%,46.38%,53.62%,49.41%,50.11%,1.45%,9.39%,0.19%,5.32%
