Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,50.58%,49.42%,49.71%,50.29%,1.76 : 1,1.75 : 1,36.04%,36.44%,"22,799","23,424","16'15""","17'23""",50.58%,49.42%,50.45%,49.88%,6.81%,10.04%,5.73%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,51.71%,48.29%,48.10%,51.90%,1.83 : 1,1.95 : 1,36.77%,38.37%,"23,015","26,297","16'20""","18'4""",51.71%,48.29%,50.45%,49.78%,6.81%,1.62%,5.73%,9.80%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,47.59%,52.41%,51.03%,48.97%,1.80 : 1,1.84 : 1,37.23%,39.35%,"22,282","23,941","15'21""","18'0""",47.59%,52.41%,50.45%,51.16%,6.81%,3.69%,5.73%,1.45%
cassiopeia,52.63%,47.37%,55.43%,44.57%,2.09 : 1,1.63 : 1,38.27%,38.41%,"20,204","23,263","16'24""","17'52""",52.63%,47.37%,50.45%,51.43%,6.81%,0.58%,5.73%,1.11%
chogath,47.65%,52.35%,54.77%,45.23%,1.81 : 1,1.89 : 1,35.26%,37.96%,"25,294","24,323","16'14""","17'17""",47.65%,52.35%,50.45%,51.78%,6.81%,3.23%,5.73%,1.00%
corki,,,,,,,,,,,,,,,,,,,,
darius,51.02%,48.98%,50.96%,49.04%,1.77 : 1,1.65 : 1,36.03%,35.27%,"20,395","21,641","16'24""","16'34""",51.02%,48.98%,50.45%,50.08%,6.81%,5.73%,5.73%,13.72%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,50.49%,49.51%,52.75%,47.25%,1.89 : 1,1.77 : 1,34.86%,34.20%,"31,733","28,395","16'1""","16'16""",50.49%,49.51%,50.45%,50.44%,6.81%,7.37%,5.73%,15.65%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,49.17%,50.83%,54.56%,45.44%,1.87 : 1,1.45 : 1,36.58%,33.76%,"22,757","24,193","15'35""","16'23""",49.17%,50.83%,50.45%,51.35%,6.81%,4.66%,5.73%,6.93%
fizz,,,,,,,,,,,,,,,,,,,,
galio,56.76%,43.24%,61.67%,38.33%,1.94 : 1,2.28 : 1,39.64%,44.99%,"23,593","21,326","15'40""","18'50""",56.76%,43.24%,50.45%,48.96%,6.81%,0.54%,5.73%,2.78%
gangplank,45.81%,54.19%,51.32%,48.68%,1.79 : 1,2.13 : 1,36.34%,42.26%,"21,353","27,921","16'37""","16'39""",45.81%,54.19%,50.45%,50.75%,6.81%,4.84%,5.73%,4.86%
garen,47.68%,52.32%,49.63%,50.37%,1.71 : 1,1.86 : 1,34.82%,36.02%,"22,360","23,845","16'31""","16'26""",47.68%,52.32%,50.45%,50.53%,6.81%,3.86%,5.73%,2.30%
gnar,50.17%,49.83%,54.60%,45.40%,1.84 : 1,1.78 : 1,35.92%,36.18%,"19,093","24,665","16'19""","17'22""",50.17%,49.83%,50.45%,49.42%,6.81%,3.21%,5.73%,0.95%
gragas,49.05%,50.95%,46.92%,53.08%,1.70 : 1,2.08 : 1,34.95%,37.37%,"22,696","23,673","16'46""","17'18""",49.05%,50.95%,50.45%,50.78%,6.81%,3.45%,5.73%,1.75%
graves,,,,,,,,,,,,,,,,,,,,
gwen,47.57%,52.43%,52.28%,47.72%,1.74 : 1,1.57 : 1,36.47%,35.92%,"21,883","26,558","15'59""","16'17""",47.57%,52.43%,50.45%,49.99%,6.81%,3.47%,5.73%,8.69%
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,43.97%,56.03%,53.20%,46.80%,1.72 : 1,1.52 : 1,34.58%,34.15%,"17,448","29,386","17'41""","15'13""",43.97%,56.03%,50.45%,52.79%,6.81%,0.99%,5.73%,1.18%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,47.50%,52.50%,49.00%,51.00%,1.73 : 1,1.40 : 1,35.04%,33.03%,"21,181","29,083","17'10""","15'17""",47.50%,52.50%,50.45%,49.48%,6.81%,1.69%,5.73%,2.88%
irelia,50.00%,50.00%,53.61%,46.39%,1.93 : 1,1.39 : 1,37.70%,35.09%,"20,675","21,518","15'53""","16'16""",50.00%,50.00%,50.45%,51.35%,6.81%,4.45%,5.73%,13.84%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,48.69%,51.31%,51.53%,48.47%,1.88 : 1,1.61 : 1,37.04%,34.00%,"21,648","23,553","15'45""","16'19""",48.69%,51.31%,50.45%,50.52%,6.81%,6.89%,5.73%,8.89%
