Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,48.28%,51.72%,2.53 : 1,2.38 : 1,51.93%,50.19%,"22,465","17,920",48.28%,51.72%,50.00%,49.92%,3.35%,2.00%,5.11%,1.31%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,42.93%,57.07%,2.29 : 1,2.78 : 1,49.56%,50.67%,"18,481","16,774",42.93%,57.07%,50.00%,51.26%,3.35%,1.95%,5.11%,3.83%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,44.62%,55.38%,2.38 : 1,2.48 : 1,52.09%,51.58%,"22,692","22,704",44.62%,55.38%,50.00%,52.47%,3.35%,3.98%,5.11%,4.31%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,48.35%,51.65%,2.52 : 1,2.36 : 1,50.88%,50.99%,"22,267","21,812",48.35%,51.65%,50.00%,51.17%,3.35%,5.34%,5.11%,6.02%
drmundo,57.76%,42.24%,2.84 : 1,2.50 : 1,50.83%,47.82%,"24,038","19,473",57.76%,42.24%,50.00%,49.10%,3.35%,1.62%,5.11%,15.18%
draven,,,,,,,,,,,,,,,,
ekko,50.46%,49.54%,2.49 : 1,2.53 : 1,50.75%,51.07%,"22,560","20,302",50.46%,49.54%,50.00%,51.58%,3.35%,6.36%,5.11%,4.77%
elise,53.45%,46.55%,2.46 : 1,2.47 : 1,50.66%,50.66%,"22,379","21,268",53.45%,46.55%,50.00%,50.76%,3.35%,3.31%,5.11%,5.56%
evelynn,44.86%,55.14%,2.42 : 1,2.56 : 1,51.55%,49.06%,"22,862","22,914",44.86%,55.14%,50.00%,51.04%,3.35%,2.69%,5.11%,3.76%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,50.97%,49.03%,2.54 : 1,2.71 : 1,51.35%,50.11%,"23,518","21,078",50.97%,49.03%,50.00%,52.31%,3.35%,3.04%,5.11%,3.28%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,57.53%,42.47%,2.65 : 1,2.63 : 1,51.98%,51.62%,"23,271","21,846",57.53%,42.47%,50.00%,50.97%,3.35%,1.19%,5.11%,1.66%
graves,54.23%,45.77%,2.54 : 1,2.37 : 1,49.00%,52.07%,"21,292","22,379",54.23%,45.77%,50.00%,49.65%,3.35%,5.70%,5.11%,4.41%
gwen,55.77%,44.23%,2.67 : 1,2.43 : 1,49.98%,51.14%,"21,324","21,225",55.77%,44.23%,50.00%,50.89%,3.35%,1.24%,5.11%,8.42%
hecarim,50.11%,49.89%,2.42 : 1,2.78 : 1,50.89%,53.57%,"21,922","20,873",50.11%,49.89%,50.00%,49.81%,3.35%,4.29%,5.11%,4.67%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,51.67%,48.33%,2.57 : 1,4.05 : 1,52.56%,61.51%,"21,475","11,183",51.67%,48.33%,50.00%,51.97%,3.35%,1.45%,5.11%,0.83%
janna,,,,,,,,,,,,,,,,
