Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,52.65%,47.35%,48.92%,51.08%,1.83 : 1,1.75 : 1,37.39%,36.24%,"21,962","20,258","17'2""","16'24""",52.65%,47.35%,52.23%,49.88%,4.78%,10.04%,3.79%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,58.54%,41.46%,49.89%,50.11%,1.86 : 1,1.71 : 1,37.96%,38.56%,"22,238","21,885","17'22""","17'36""",58.54%,41.46%,52.23%,49.78%,4.78%,1.62%,3.79%,9.80%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,50.78%,49.22%,50.48%,49.52%,1.76 : 1,1.93 : 1,38.21%,40.53%,"20,890","21,599","16'23""","16'41""",50.78%,49.22%,52.23%,51.16%,4.78%,3.69%,3.79%,1.45%
cassiopeia,46.81%,53.19%,54.97%,45.03%,1.71 : 1,1.71 : 1,37.19%,36.95%,"19,189","21,074","16'19""","16'51""",46.81%,53.19%,52.23%,51.43%,4.78%,0.58%,3.79%,1.11%
chogath,47.12%,52.88%,53.00%,47.00%,1.90 : 1,1.99 : 1,37.64%,38.68%,"24,158","22,631","16'54""","16'9""",47.12%,52.88%,52.23%,51.78%,4.78%,3.23%,3.79%,1.00%
corki,,,,,,,,,,,,,,,,,,,,
darius,52.12%,47.88%,53.25%,46.75%,1.93 : 1,1.58 : 1,39.09%,35.09%,"21,130","18,853","16'31""","16'14""",52.12%,47.88%,52.23%,50.08%,4.78%,5.73%,3.79%,13.72%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,52.76%,47.24%,58.60%,41.40%,2.26 : 1,1.48 : 1,39.62%,32.21%,"31,384","22,222","16'27""","15'55""",52.76%,47.24%,52.23%,50.44%,4.78%,7.37%,3.79%,15.65%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,50.60%,49.40%,52.79%,47.21%,1.85 : 1,1.44 : 1,38.17%,35.09%,"21,554","20,652","16'10""","15'49""",50.60%,49.40%,52.23%,51.35%,4.78%,4.66%,3.79%,6.93%
fizz,,,,,,,,,,,,,,,,,,,,
galio,60.00%,40.00%,58.76%,41.24%,2.00 : 1,2.06 : 1,41.75%,44.92%,"23,377","17,176","17'9""","17'57""",60.00%,40.00%,52.23%,48.96%,4.78%,0.54%,3.79%,2.78%
gangplank,49.79%,50.21%,53.22%,46.78%,1.81 : 1,2.01 : 1,36.81%,42.64%,"21,015","23,578","16'58""","15'57""",49.79%,50.21%,52.23%,50.75%,4.78%,4.84%,3.79%,4.86%
garen,47.34%,52.66%,50.14%,49.86%,1.79 : 1,1.84 : 1,37.71%,36.09%,"21,732","21,339","17'17""","15'39""",47.34%,52.66%,52.23%,50.53%,4.78%,3.86%,3.79%,2.30%
gnar,45.95%,54.05%,53.40%,46.60%,1.75 : 1,1.86 : 1,35.64%,36.75%,"18,988","20,398","17'1""","16'3""",45.95%,54.05%,52.23%,49.42%,4.78%,3.21%,3.79%,0.95%
gragas,51.77%,48.23%,47.64%,52.36%,1.75 : 1,2.14 : 1,35.58%,38.53%,"20,371","19,756","17'38""","16'10""",51.77%,48.23%,52.23%,50.78%,4.78%,3.45%,3.79%,1.75%
graves,,,,,,,,,,,,,,,,,,,,
gwen,54.59%,45.41%,55.59%,44.41%,2.10 : 1,1.39 : 1,40.69%,34.89%,"22,545","20,110","15'50""","16'40""",54.59%,45.41%,52.23%,49.99%,4.78%,3.47%,3.79%,8.69%
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,52.08%,47.92%,58.41%,41.59%,2.00 : 1,1.40 : 1,36.48%,34.89%,"17,859","27,593","17'25""","15'17""",52.08%,47.92%,52.23%,52.79%,4.78%,0.99%,3.79%,1.18%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,51.83%,48.17%,52.69%,47.31%,1.98 : 1,1.35 : 1,36.92%,33.61%,"21,516","24,772","17'47""","14'46""",51.83%,48.17%,52.23%,49.48%,4.78%,1.69%,3.79%,2.88%
irelia,51.98%,48.02%,53.11%,46.89%,2.03 : 1,1.45 : 1,39.85%,36.35%,"21,474","19,949","17'5""","15'13""",51.98%,48.02%,52.23%,51.35%,4.78%,4.45%,3.79%,13.84%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,53.66%,46.34%,51.80%,48.20%,1.88 : 1,1.56 : 1,37.58%,34.83%,"20,838","18,890","16'25""","15'30""",53.66%,46.34%,52.23%,50.52%,4.78%,6.89%,3.79%,8.89%
jayce,48.64%,51.36%,54.08%,45.92%,1.78 : 1,1.79 : 1,36.41%,39.79%,"17,693","22,595","16'48""","15'38""",48.64%,51.36%,52.23%,48.96%,4.78%,4.99%,3.79%,7.94%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
