Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,48.97%,51.03%,47.04%,52.96%,1.80 : 1,1.84 : 1,39.18%,36.50%,"24,633","20,762","18'1""","16'36""",48.97%,51.03%,48.17%,49.88%,1.58%,10.04%,0.58%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,47.54%,52.46%,37.20%,62.80%,1.54 : 1,2.10 : 1,35.87%,37.56%,"22,452","23,361","17'36""","17'46""",47.54%,52.46%,48.17%,49.78%,1.58%,1.62%,0.58%,9.80%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,42.54%,57.46%,45.67%,54.33%,1.80 : 1,1.97 : 1,40.38%,40.31%,"25,913","21,116","16'16""","16'59""",42.54%,57.46%,48.17%,51.16%,1.58%,3.69%,0.58%,1.45%
cassiopeia,52.00%,48.00%,66.06%,33.94%,2.70 : 1,1.18 : 1,48.07%,31.99%,"25,981","19,255","19'40""","18'22""",52.00%,48.00%,48.17%,51.43%,1.58%,0.58%,0.58%,1.11%
chogath,43.75%,56.25%,50.41%,49.59%,1.95 : 1,2.02 : 1,41.29%,37.72%,"31,646","22,390","16'41""","16'41""",43.75%,56.25%,48.17%,51.78%,1.58%,3.23%,0.58%,1.00%
corki,,,,,,,,,,,,,,,,,,,,
darius,50.00%,50.00%,46.04%,53.96%,1.86 : 1,1.81 : 1,39.55%,36.12%,"25,501","19,234","17'56""","16'52""",50.00%,50.00%,48.17%,50.08%,1.58%,5.73%,0.58%,13.72%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,46.64%,53.36%,56.25%,43.75%,2.22 : 1,1.73 : 1,39.84%,33.45%,"36,509","23,292","17'53""","16'10""",46.64%,53.36%,48.17%,50.44%,1.58%,7.37%,0.58%,15.65%
