Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,51.33%,48.67%,42.10%,57.90%,2.30 : 1,3.00 : 1,42.79%,46.67%,"23,808","22,947","17'52""","17'52""",51.33%,48.67%,48.65%,49.42%,3.12%,7.97%,0.67%,2.83%
akali,53.78%,46.22%,45.46%,54.54%,2.29 : 1,2.56 : 1,42.83%,44.42%,"25,115","24,546","16'37""","18'5""",53.78%,46.22%,48.65%,50.93%,3.12%,6.65%,0.67%,10.16%
akshan,45.07%,54.93%,44.56%,55.44%,2.15 : 1,3.01 : 1,40.87%,50.19%,"22,783","27,156","17'51""","17'49""",45.07%,54.93%,48.65%,52.43%,3.12%,2.44%,0.67%,3.52%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,47.25%,52.75%,35.98%,64.02%,2.10 : 1,3.19 : 1,41.81%,46.65%,"23,802","23,412","18'35""","16'41""",47.25%,52.75%,48.65%,52.45%,3.12%,2.22%,0.67%,1.84%
annie,46.07%,53.93%,43.24%,56.76%,2.14 : 1,2.70 : 1,40.95%,46.75%,"22,369","26,592","16'50""","18'18""",46.07%,53.93%,48.65%,51.86%,3.12%,2.79%,0.67%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,45.69%,54.31%,48.35%,51.65%,2.16 : 1,3.30 : 1,43.33%,53.69%,"24,517","27,789","16'58""","18'43""",45.69%,54.31%,48.65%,51.06%,3.12%,2.10%,0.67%,0.64%
azir,51.13%,48.87%,44.42%,55.58%,2.30 : 1,2.33 : 1,42.81%,44.19%,"22,529","25,431","17'40""","17'5""",51.13%,48.87%,48.65%,47.21%,3.12%,2.75%,0.67%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,48.44%,51.56%,50.93%,49.07%,2.54 : 1,2.27 : 1,42.73%,45.41%,"23,032","24,298","18'40""","17'42""",48.44%,51.56%,48.65%,51.16%,3.12%,1.25%,0.67%,1.23%
chogath,52.08%,47.92%,45.45%,54.55%,2.24 : 1,2.68 : 1,42.75%,44.00%,"24,602","19,740","17'48""","16'46""",52.08%,47.92%,48.65%,50.64%,3.12%,0.65%,0.67%,0.90%
corki,61.00%,39.00%,52.17%,47.83%,2.70 : 1,2.10 : 1,44.89%,44.23%,"23,999","24,921","18'2""","17'9""",61.00%,39.00%,48.65%,45.52%,3.12%,0.93%,0.67%,0.48%
darius,,,,,,,,,,,,,,,,,,,,
diana,48.54%,51.46%,46.45%,53.55%,2.06 : 1,2.31 : 1,43.09%,47.01%,"21,882","25,433","16'52""","15'53""",48.54%,51.46%,48.65%,51.77%,3.12%,4.20%,0.67%,5.99%
drmundo,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,,,,,
ekko,53.18%,46.82%,47.52%,52.48%,2.38 : 1,2.49 : 1,43.43%,44.05%,"24,324","22,202","17'43""","16'59""",53.18%,46.82%,48.65%,51.02%,3.12%,3.17%,0.67%,4.70%
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,53.70%,46.30%,41.20%,58.80%,2.09 : 1,2.64 : 1,42.07%,46.36%,"24,752","22,363","16'6""","17'25""",53.70%,46.30%,48.65%,50.30%,3.12%,2.70%,0.67%,3.05%
galio,40.06%,59.94%,45.21%,54.79%,2.12 : 1,3.27 : 1,43.90%,50.50%,"22,002","19,433","18'13""","17'57""",40.06%,59.94%,48.65%,51.28%,3.12%,4.50%,0.67%,3.30%
gangplank,50.00%,50.00%,37.50%,62.50%,2.51 : 1,2.86 : 1,44.14%,49.46%,"28,830","27,600","18'10""","15'43""",50.00%,50.00%,48.65%,51.87%,3.12%,0.57%,0.67%,4.49%
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,57.14%,42.86%,44.23%,55.77%,1.96 : 1,2.56 : 1,39.27%,44.61%,"23,797","20,793","18'5""","17'59""",57.14%,42.86%,48.65%,50.85%,3.12%,0.74%,0.67%,1.58%
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,43.22%,56.78%,46.10%,53.90%,2.18 : 1,2.90 : 1,41.75%,47.57%,"21,306","27,338","19'4""","17'16""",43.22%,56.78%,48.65%,50.33%,3.12%,5.58%,0.67%,3.57%
illaoi,,,,,,,,,,,,,,,,,,,,
