Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,50.33%,49.67%,56.59%,43.41%,2.42 : 1,1.96 : 1,51.70%,46.76%,"24,849","24,571","15'17""","15'25""",50.33%,49.67%,50.82%,50.14%,5.13%,8.80%,6.57%,3.15%
ashe,52.72%,47.28%,54.75%,45.25%,2.26 : 1,2.18 : 1,50.98%,50.41%,"24,924","21,536","15'20""","15'53""",52.72%,47.28%,50.82%,50.74%,5.13%,5.79%,6.57%,1.52%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,50.62%,49.38%,56.62%,43.38%,2.33 : 1,2.09 : 1,50.20%,47.49%,"25,515","24,132","15'54""","14'52""",50.62%,49.38%,50.82%,49.90%,5.13%,11.08%,6.57%,12.92%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,51.14%,48.86%,44.55%,55.45%,2.04 : 1,2.72 : 1,48.63%,53.42%,"24,837","28,059","16'10""","14'38""",51.14%,48.86%,50.82%,49.46%,5.13%,2.33%,6.57%,0.53%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,50.79%,49.21%,54.51%,45.49%,2.31 : 1,2.05 : 1,52.09%,48.68%,"25,576","24,411","15'29""","14'47""",50.79%,49.21%,50.82%,49.66%,5.13%,4.14%,6.57%,19.07%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,53.04%,46.96%,50.22%,49.78%,2.32 : 1,2.49 : 1,49.67%,49.21%,"26,220","27,242","15'53""","15'16""",53.04%,46.96%,50.82%,48.37%,5.13%,13.69%,6.57%,4.98%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,44.63%,55.37%,53.67%,46.33%,2.18 : 1,2.40 : 1,48.91%,50.05%,"25,334","28,030","17'23""","15'56""",44.63%,55.37%,50.82%,52.09%,5.13%,0.92%,6.57%,3.20%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
