Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,48.78%,51.22%,3.18 : 1,2.50 : 1,53.21%,52.09%,"16,709","19,692",48.78%,51.22%,48.30%,49.92%,1.72%,2.00%,0.28%,1.31%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,46.75%,53.25%,3.05 : 1,2.91 : 1,51.97%,51.89%,"14,668","16,413",46.75%,53.25%,48.30%,51.26%,1.72%,1.95%,0.28%,3.83%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,49.64%,50.36%,3.18 : 1,2.31 : 1,56.33%,53.24%,"17,836","23,906",49.64%,50.36%,48.30%,52.47%,1.72%,3.98%,0.28%,4.31%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,47.50%,52.50%,3.48 : 1,2.63 : 1,55.78%,54.50%,"16,800","24,225",47.50%,52.50%,48.30%,51.17%,1.72%,5.34%,0.28%,6.02%
drmundo,55.93%,44.07%,3.35 : 1,2.77 : 1,54.31%,47.38%,"18,007","22,305",55.93%,44.07%,48.30%,49.10%,1.72%,1.62%,0.28%,15.18%
draven,,,,,,,,,,,,,,,,
ekko,42.41%,57.59%,3.04 : 1,3.21 : 1,53.72%,54.60%,"16,366","22,653",42.41%,57.59%,48.30%,51.58%,1.72%,6.36%,0.28%,4.77%
elise,49.66%,50.34%,3.30 : 1,2.54 : 1,54.96%,51.07%,"17,366","22,847",49.66%,50.34%,48.30%,50.76%,1.72%,3.31%,0.28%,5.56%
evelynn,48.15%,51.85%,3.24 : 1,2.98 : 1,53.31%,52.93%,"15,754","23,223",48.15%,51.85%,48.30%,51.04%,1.72%,2.69%,0.28%,3.76%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,48.51%,51.49%,3.47 : 1,2.89 : 1,53.13%,55.12%,"17,236","22,784",48.51%,51.49%,48.30%,52.31%,1.72%,3.04%,0.28%,3.28%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,45.83%,54.17%,3.72 : 1,2.59 : 1,54.48%,50.73%,"17,428","21,521",45.83%,54.17%,48.30%,50.97%,1.72%,1.19%,0.28%,1.66%
graves,48.74%,51.26%,3.31 : 1,2.53 : 1,52.23%,53.27%,"16,132","24,287",48.74%,51.26%,48.30%,49.65%,1.72%,5.70%,0.28%,4.41%
gwen,43.08%,56.92%,3.33 : 1,2.52 : 1,55.03%,52.52%,"17,433","27,729",43.08%,56.92%,48.30%,50.89%,1.72%,1.24%,0.28%,8.42%
hecarim,55.77%,44.23%,3.66 : 1,2.91 : 1,55.15%,54.37%,"17,120","20,757",55.77%,44.23%,48.30%,49.81%,1.72%,4.29%,0.28%,4.67%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,46.67%,53.33%,2.66 : 1,4.08 : 1,54.01%,61.03%,"13,145","12,992",46.67%,53.33%,48.30%,51.97%,1.72%,1.45%,0.28%,0.83%
janna,,,,,,,,,,,,,,,,
