Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,47.60%,52.40%,53.72%,46.28%,3.10 : 1,2.08 : 1,56.74%,46.49%,"19,904","25,838","16'28""","15'1""",47.60%,52.40%,50.43%,50.14%,5.31%,8.80%,8.22%,3.15%
ashe,47.13%,52.87%,52.45%,47.55%,3.02 : 1,2.30 : 1,56.79%,49.01%,"20,837","22,619","16'26""","15'34""",47.13%,52.87%,50.43%,50.74%,5.31%,5.79%,8.22%,1.52%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,51.53%,48.47%,52.18%,47.82%,3.16 : 1,2.16 : 1,55.27%,46.72%,"21,194","25,686","16'41""","14'29""",51.53%,48.47%,50.43%,49.90%,5.31%,11.08%,8.22%,12.92%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,53.70%,46.30%,50.27%,49.73%,3.31 : 1,2.44 : 1,56.95%,50.52%,"22,079","27,754","16'27""","14'33""",53.70%,46.30%,50.43%,49.46%,5.31%,2.33%,8.22%,0.53%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,53.08%,46.92%,52.88%,47.12%,3.24 : 1,2.08 : 1,58.47%,49.10%,"20,300","24,186","16'35""","14'49""",53.08%,46.92%,50.43%,49.66%,5.31%,4.14%,8.22%,19.07%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,50.06%,49.94%,47.60%,52.40%,3.10 : 1,2.57 : 1,56.12%,48.52%,"21,032","27,844","16'36""","14'54""",50.06%,49.94%,50.43%,48.37%,5.31%,13.69%,8.22%,4.98%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,53.91%,46.09%,45.06%,54.94%,2.85 : 1,2.67 : 1,53.92%,49.95%,"19,090","28,976","16'15""","14'53""",53.91%,46.09%,50.43%,52.09%,5.31%,0.92%,8.22%,3.20%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
