Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,50.70%,49.30%,55.32%,44.68%,3.11 : 1,2.56 : 1,60.55%,55.38%,50.70%,49.30%,49.75%,51.09%,2.76%,6.22%,0.40%,2.62%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,40.00%,60.00%,58.65%,41.35%,2.86 : 1,2.55 : 1,55.85%,50.76%,40.00%,60.00%,49.75%,45.31%,2.76%,0.55%,0.40%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,50.79%,49.21%,52.64%,47.36%,2.84 : 1,3.03 : 1,57.04%,56.72%,50.79%,49.21%,49.75%,51.16%,2.76%,5.51%,0.40%,1.54%
belveth,,,,,,,,,,,,,,,,
blitzcrank,49.28%,50.72%,50.52%,49.48%,2.77 : 1,2.50 : 1,57.93%,51.12%,49.28%,50.72%,49.75%,50.73%,2.76%,4.93%,0.40%,12.51%
brand,50.00%,50.00%,60.52%,39.48%,2.84 : 1,1.89 : 1,54.50%,46.29%,50.00%,50.00%,49.75%,48.89%,2.76%,1.45%,0.40%,1.11%
braum,45.17%,54.83%,48.30%,51.70%,2.76 : 1,3.14 : 1,59.52%,58.17%,45.17%,54.83%,49.75%,52.37%,2.76%,7.99%,0.40%,14.34%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,44.55%,55.45%,54.55%,45.45%,2.65 : 1,2.28 : 1,61.43%,52.08%,44.55%,55.45%,49.75%,52.55%,2.76%,1.59%,0.40%,5.36%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,40.82%,59.18%,55.15%,44.85%,2.88 : 1,2.11 : 1,58.76%,47.64%,40.82%,59.18%,49.75%,51.13%,2.76%,1.01%,0.40%,3.04%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,60.00%,40.00%,55.74%,44.26%,3.63 : 1,2.50 : 1,57.81%,52.37%,60.00%,40.00%,49.75%,50.93%,2.76%,0.60%,0.40%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,52.83%,47.17%,55.19%,44.81%,2.90 : 1,2.29 : 1,55.74%,49.67%,52.83%,47.17%,49.75%,49.16%,2.76%,0.76%,0.40%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,49.59%,50.41%,49.56%,50.44%,2.87 : 1,3.16 : 1,57.35%,57.60%,49.59%,50.41%,49.75%,52.34%,2.76%,4.92%,0.40%,1.63%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,46.26%,53.74%,51.01%,48.99%,2.95 : 1,2.81 : 1,57.00%,54.69%,46.26%,53.74%,49.75%,50.11%,2.76%,9.39%,0.40%,5.32%
