Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,50.73%,49.27%,47.19%,52.81%,1.57 : 1,1.89 : 1,35.15%,37.78%,"24,534","25,333","16'21""","16'44""",50.73%,49.27%,52.65%,49.88%,7.22%,10.04%,4.80%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,52.89%,47.11%,45.95%,54.05%,1.57 : 1,2.02 : 1,34.71%,38.19%,"25,182","29,472","16'4""","17'17""",52.89%,47.11%,52.65%,49.78%,7.22%,1.62%,4.80%,9.80%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,50.45%,49.55%,45.48%,54.52%,1.61 : 1,1.98 : 1,36.16%,39.99%,"24,598","26,043","15'28""","17'6""",50.45%,49.55%,52.65%,51.16%,7.22%,3.69%,4.80%,1.45%
cassiopeia,51.43%,48.57%,50.18%,49.82%,1.75 : 1,1.60 : 1,36.05%,34.73%,"23,937","26,014","16'43""","17'59""",51.43%,48.57%,52.65%,51.43%,7.22%,0.58%,4.80%,1.11%
chogath,50.21%,49.79%,49.93%,50.07%,1.68 : 1,1.93 : 1,36.68%,37.87%,"30,519","24,691","15'39""","17'1""",50.21%,49.79%,52.65%,51.78%,7.22%,3.23%,4.80%,1.00%
corki,,,,,,,,,,,,,,,,,,,,
darius,52.25%,47.75%,49.77%,50.23%,1.67 : 1,1.66 : 1,37.23%,36.54%,"24,938","23,160","15'48""","16'11""",52.25%,47.75%,52.65%,50.08%,7.22%,5.73%,4.80%,13.72%
