Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,53.92%,46.08%,2.91 : 1,2.16 : 1,52.79%,47.86%,"21,296","17,664",53.92%,46.08%,51.36%,49.92%,4.81%,2.00%,26.44%,1.31%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,46.33%,53.67%,2.86 : 1,2.71 : 1,53.19%,51.01%,"20,742","18,232",46.33%,53.67%,51.36%,51.26%,4.81%,1.95%,26.44%,3.83%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,45.28%,54.72%,2.69 : 1,2.38 : 1,53.89%,51.96%,"22,285","24,481",45.28%,54.72%,51.36%,52.47%,4.81%,3.98%,26.44%,4.31%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,48.20%,51.80%,3.02 : 1,2.17 : 1,53.40%,48.60%,"21,115","22,236",48.20%,51.80%,51.36%,51.17%,4.81%,5.34%,26.44%,6.02%
drmundo,45.67%,54.33%,3.16 : 1,2.50 : 1,53.42%,44.37%,"23,182","20,215",45.67%,54.33%,51.36%,49.10%,4.81%,1.62%,26.44%,15.18%
draven,,,,,,,,,,,,,,,,
ekko,49.32%,50.68%,3.04 : 1,2.49 : 1,53.39%,50.13%,"21,930","22,048",49.32%,50.68%,51.36%,51.58%,4.81%,6.36%,26.44%,4.77%
elise,53.26%,46.74%,3.02 : 1,2.29 : 1,53.87%,49.47%,"21,031","19,985",53.26%,46.74%,51.36%,50.76%,4.81%,3.31%,26.44%,5.56%
evelynn,49.43%,50.57%,2.85 : 1,2.68 : 1,52.01%,50.67%,"21,079","23,658",49.43%,50.57%,51.36%,51.04%,4.81%,2.69%,26.44%,3.76%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,49.27%,50.73%,2.84 : 1,2.54 : 1,51.67%,50.58%,"21,421","21,476",49.27%,50.73%,51.36%,52.31%,4.81%,3.04%,26.44%,3.28%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,44.35%,55.65%,2.72 : 1,2.78 : 1,50.55%,50.10%,"19,151","21,625",44.35%,55.65%,51.36%,50.97%,4.81%,1.19%,26.44%,1.66%
graves,47.56%,52.44%,2.77 : 1,2.40 : 1,51.12%,49.84%,"18,418","22,562",47.56%,52.44%,51.36%,49.65%,4.81%,5.70%,26.44%,4.41%
gwen,50.44%,49.56%,3.07 : 1,2.27 : 1,51.41%,46.64%,"18,153","20,716",50.44%,49.56%,51.36%,50.89%,4.81%,1.24%,26.44%,8.42%
hecarim,48.94%,51.06%,2.79 : 1,2.78 : 1,52.32%,53.13%,"19,875","20,769",48.94%,51.06%,51.36%,49.81%,4.81%,4.29%,26.44%,4.67%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,56.82%,43.18%,3.00 : 1,3.58 : 1,52.28%,58.15%,"18,129","10,858",56.82%,43.18%,51.36%,51.97%,4.81%,1.45%,26.44%,0.83%
janna,,,,,,,,,,,,,,,,
