Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,49.47%,50.53%,52.50%,47.50%,2.65 : 1,1.78 : 1,46.06%,38.23%,"18,326","23,405","19'34""","15'31""",49.47%,50.53%,51.64%,49.88%,5.08%,10.04%,3.71%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,46.49%,53.51%,45.63%,54.37%,2.42 : 1,2.30 : 1,45.31%,39.05%,"17,853","23,905","20'20""","16'33""",46.49%,53.51%,51.64%,49.78%,5.08%,1.62%,3.71%,9.80%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,49.21%,50.79%,48.80%,51.20%,2.50 : 1,1.92 : 1,45.40%,38.75%,"19,956","23,720","18'25""","16'31""",49.21%,50.79%,51.64%,51.16%,5.08%,3.69%,3.71%,1.45%
cassiopeia,42.25%,57.75%,58.75%,41.25%,2.65 : 1,1.66 : 1,46.57%,39.30%,"15,972","26,594","19'25""","16'13""",42.25%,57.75%,51.64%,51.43%,5.08%,0.58%,3.71%,1.11%
chogath,48.39%,51.61%,57.40%,42.60%,2.87 : 1,1.81 : 1,47.07%,39.02%,"24,352","23,557","19'19""","15'36""",48.39%,51.61%,51.64%,51.78%,5.08%,3.23%,3.71%,1.00%
corki,,,,,,,,,,,,,,,,,,,,
darius,52.14%,47.86%,52.37%,47.63%,2.71 : 1,1.66 : 1,45.47%,36.40%,"17,506","22,088","19'34""","15'13""",52.14%,47.86%,51.64%,50.08%,5.08%,5.73%,3.71%,13.72%
diana,,,,,,,,,,,,,,,,,,,,
drmundo,50.63%,49.37%,58.55%,41.45%,3.24 : 1,1.62 : 1,46.55%,33.80%,"31,365","27,831","19'26""","14'54""",50.63%,49.37%,51.64%,50.44%,5.08%,7.37%,3.71%,15.65%
draven,,,,,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,54.83%,45.17%,56.99%,43.01%,2.96 : 1,1.36 : 1,44.46%,33.84%,"19,773","22,885","19'3""","14'55""",54.83%,45.17%,51.64%,51.35%,5.08%,4.66%,3.71%,6.93%
fizz,,,,,,,,,,,,,,,,,,,,
galio,54.55%,45.45%,59.73%,40.27%,3.35 : 1,1.97 : 1,47.17%,42.33%,"17,854","18,935","19'38""","18'14""",54.55%,45.45%,51.64%,48.96%,5.08%,0.54%,3.71%,2.78%
gangplank,50.46%,49.54%,54.18%,45.82%,2.80 : 1,2.12 : 1,45.53%,43.51%,"18,421","27,539","19'37""","15'11""",50.46%,49.54%,51.64%,50.75%,5.08%,4.84%,3.71%,4.86%
garen,54.01%,45.99%,52.69%,47.31%,2.77 : 1,1.72 : 1,45.12%,35.50%,"20,668","23,120","19'22""","15'9""",54.01%,45.99%,51.64%,50.53%,5.08%,3.86%,3.71%,2.30%
gnar,50.97%,49.03%,51.19%,48.81%,2.63 : 1,1.87 : 1,45.46%,38.48%,"16,170","23,084","19'3""","14'44""",50.97%,49.03%,51.64%,49.42%,5.08%,3.21%,3.71%,0.95%
gragas,48.34%,51.66%,51.10%,48.90%,2.59 : 1,2.05 : 1,44.54%,37.52%,"19,358","22,223","20'5""","16'1""",48.34%,51.66%,51.64%,50.78%,5.08%,3.45%,3.71%,1.75%
graves,,,,,,,,,,,,,,,,,,,,
gwen,49.91%,50.09%,52.67%,47.33%,2.64 : 1,1.63 : 1,46.43%,37.16%,"18,262","26,818","19'9""","14'56""",49.91%,50.09%,51.64%,49.99%,5.08%,3.47%,3.71%,8.69%
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,49.68%,50.32%,58.02%,41.98%,2.92 : 1,1.57 : 1,45.08%,36.61%,"14,495","32,725","21'17""","13'52""",49.68%,50.32%,51.64%,52.79%,5.08%,0.99%,3.71%,1.18%
hwei,,,,,,,,,,,,,,,,,,,,
illaoi,53.54%,46.46%,54.51%,45.49%,2.98 : 1,1.37 : 1,45.91%,33.66%,"21,376","30,481","19'40""","14'8""",53.54%,46.46%,51.64%,49.48%,5.08%,1.69%,3.71%,2.88%
irelia,52.58%,47.42%,55.16%,44.84%,2.99 : 1,1.36 : 1,47.96%,36.39%,"18,111","21,266","19'47""","14'50""",52.58%,47.42%,51.64%,51.35%,5.08%,4.45%,3.71%,13.84%
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,51.93%,48.07%,52.28%,47.72%,2.80 : 1,1.58 : 1,45.65%,33.51%,"18,682","20,562","18'52""","15'6""",51.93%,48.07%,51.64%,50.52%,5.08%,6.89%,3.71%,8.89%
jayce,54.24%,45.76%,58.13%,41.87%,2.95 : 1,1.64 : 1,46.69%,39.00%,"16,372","25,707","19'20""","14'40""",54.24%,45.76%,51.64%,48.96%,5.08%,4.99%,3.71%,7.94%
jhin,,,,,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,,,
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,,,,,
kayle,48.67%,51.33%,61.17%,38.83%,3.01 : 1,1.62 : 1,45.38%,37.85%,"16,999","23,123","18'29""","16'46""",48.67%,51.33%,51.64%,52.36%,5.08%,3.68%,3.71%,4.70%
kayn,,,,,,,,,,,,,,,,,,,,
