Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,54.29%,45.71%,2.74 : 1,2.44 : 1,49.98%,49.33%,"25,906","18,878",54.29%,45.71%,48.98%,49.92%,1.38%,2.00%,0.24%,1.31%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,51.39%,48.61%,2.29 : 1,2.92 : 1,45.08%,51.10%,"17,896","16,615",51.39%,48.61%,48.98%,51.26%,1.38%,1.95%,0.24%,3.83%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,50.00%,50.00%,2.43 : 1,2.46 : 1,48.65%,52.79%,"23,175","24,227",50.00%,50.00%,48.98%,52.47%,1.38%,3.98%,0.24%,4.31%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,50.53%,49.47%,2.69 : 1,2.41 : 1,48.08%,50.86%,"22,411","21,525",50.53%,49.47%,48.98%,51.17%,1.38%,5.34%,0.24%,6.02%
drmundo,51.61%,48.39%,2.63 : 1,3.14 : 1,44.25%,48.40%,"26,790","23,301",51.61%,48.39%,48.98%,49.10%,1.38%,1.62%,0.24%,15.18%
draven,,,,,,,,,,,,,,,,
ekko,43.96%,56.04%,2.14 : 1,3.13 : 1,45.94%,50.30%,"21,058","21,156",43.96%,56.04%,48.98%,51.58%,1.38%,6.36%,0.24%,4.77%
elise,48.18%,51.82%,2.35 : 1,2.85 : 1,47.76%,51.51%,"20,602","20,944",48.18%,51.82%,48.98%,50.76%,1.38%,3.31%,0.24%,5.56%
evelynn,49.07%,50.93%,2.36 : 1,3.34 : 1,47.38%,50.97%,"20,386","23,570",49.07%,50.93%,48.98%,51.04%,1.38%,2.69%,0.24%,3.76%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,42.11%,57.89%,2.37 : 1,3.05 : 1,49.24%,50.83%,"22,735","22,365",42.11%,57.89%,48.98%,52.31%,1.38%,3.04%,0.24%,3.28%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,35.14%,64.86%,2.25 : 1,3.30 : 1,49.09%,49.68%,"24,704","24,089",35.14%,64.86%,48.98%,50.97%,1.38%,1.19%,0.24%,1.66%
graves,50.84%,49.16%,2.46 : 1,2.83 : 1,46.64%,52.54%,"21,600","25,016",50.84%,49.16%,48.98%,49.65%,1.38%,5.70%,0.24%,4.41%
gwen,36.11%,63.89%,2.33 : 1,2.97 : 1,51.03%,51.77%,"22,688","25,377",36.11%,63.89%,48.98%,50.89%,1.38%,1.24%,0.24%,8.42%
hecarim,50.00%,50.00%,2.41 : 1,2.97 : 1,47.28%,51.37%,"20,948","18,931",50.00%,50.00%,48.98%,49.81%,1.38%,4.29%,0.24%,4.67%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,53.06%,46.94%,2.72 : 1,3.93 : 1,48.98%,59.13%,"18,866","11,769",53.06%,46.94%,48.98%,51.97%,1.38%,1.45%,0.24%,0.83%
janna,,,,,,,,,,,,,,,,
