Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,58.70%,41.30%,42.65%,57.35%,2.05 : 1,1.91 : 1,40.11%,35.84%,"22,768","23,234","17'27""","17'11""",58.70%,41.30%,51.73%,49.88%,1.71%,10.04%,0.41%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,56.00%,44.00%,33.14%,66.86%,1.72 : 1,2.59 : 1,38.78%,43.17%,"21,950","27,386","16'52""","17'11""",56.00%,44.00%,51.73%,49.78%,1.71%,1.62%,0.41%,9.80%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,48.78%,51.22%,40.32%,59.68%,1.83 : 1,2.15 : 1,39.29%,38.85%,"20,119","23,402","16'57""","16'47""",48.78%,51.22%,51.73%,51.16%,1.71%,3.69%,0.41%,1.45%
cassiopeia,46.88%,53.13%,28.13%,71.88%,1.76 : 1,2.54 : 1,38.03%,45.74%,"16,763","26,392","18'44""","15'21""",46.88%,53.13%,51.73%,51.43%,1.71%,0.58%,0.41%,1.11%
