Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,48.67%,51.33%,42.00%,58.00%,1.80 : 1,2.09 : 1,37.63%,37.74%,"20,649","27,975","17'26""","17'11""",48.67%,51.33%,50.25%,49.88%,4.57%,10.04%,0.95%,12.28%
ahri,,,,,,,,,,,,,,,,,,,,
akali,54.49%,45.51%,40.10%,59.90%,1.85 : 1,2.19 : 1,35.97%,38.28%,"21,887","28,661","16'8""","18'39""",54.49%,45.51%,50.25%,49.78%,4.57%,1.62%,0.95%,9.80%
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,47.27%,52.73%,40.89%,59.11%,1.74 : 1,2.20 : 1,38.36%,39.94%,"22,898","28,407","15'30""","17'53""",47.27%,52.73%,50.25%,51.16%,4.57%,3.69%,0.95%,1.45%
cassiopeia,37.29%,62.71%,40.95%,59.05%,1.72 : 1,2.29 : 1,37.63%,40.74%,"20,022","28,768","16'11""","18'29""",37.29%,62.71%,50.25%,51.43%,4.57%,0.58%,0.95%,1.11%
chogath,46.82%,53.18%,47.71%,52.29%,1.86 : 1,2.15 : 1,38.63%,38.97%,"27,344","29,766","16'36""","17'30""",46.82%,53.18%,50.25%,51.78%,4.57%,3.23%,0.95%,1.00%
corki,,,,,,,,,,,,,,,,,,,,
darius,49.68%,50.32%,38.53%,61.47%,1.67 : 1,2.07 : 1,37.27%,37.41%,"20,594","26,746","16'49""","16'58""",49.68%,50.32%,50.25%,50.08%,4.57%,5.73%,0.95%,13.72%
