Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,50.58%,49.42%,55.50%,44.50%,2.72 : 1,2.03 : 1,50.89%,44.60%,"24,250","24,178","15'18""","15'40""",50.58%,49.42%,52.48%,50.14%,10.06%,8.80%,4.76%,3.15%
ashe,51.28%,48.72%,51.46%,48.54%,2.49 : 1,2.34 : 1,50.11%,48.51%,"24,392","21,190","15'17""","16'18""",51.28%,48.72%,52.48%,50.74%,10.06%,5.79%,4.76%,1.52%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,55.15%,44.85%,56.25%,43.75%,2.80 : 1,2.10 : 1,49.55%,44.22%,"24,992","22,966","15'36""","15'33""",55.15%,44.85%,52.48%,49.90%,10.06%,11.08%,4.76%,12.92%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,51.45%,48.55%,47.66%,52.34%,2.47 : 1,2.65 : 1,49.75%,48.92%,"25,725","25,758","15'31""","15'45""",51.45%,48.55%,52.48%,49.46%,10.06%,2.33%,4.76%,0.53%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,50.97%,49.03%,52.81%,47.19%,2.55 : 1,2.14 : 1,51.61%,47.22%,"24,081","24,648","15'46""","15'22""",50.97%,49.03%,52.48%,49.66%,10.06%,4.14%,4.76%,19.07%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,55.41%,44.59%,50.38%,49.62%,2.63 : 1,2.47 : 1,49.92%,46.33%,"25,661","25,009","15'11""","15'48""",55.41%,44.59%,52.48%,48.37%,10.06%,13.69%,4.76%,4.98%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,52.89%,47.11%,49.27%,50.73%,2.51 : 1,2.60 : 1,48.52%,48.71%,"24,589","24,880","16'22""","16'1""",52.89%,47.11%,52.48%,52.09%,10.06%,0.92%,4.76%,3.20%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
