Opponent,Self_winrate,Opponent_winrate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,
amumu,37.93%,62.07%,2.63 : 1,2.96 : 1,53.63%,54.68%,"16,736","18,546",37.93%,62.07%,45.48%,49.92%,0.64%,2.00%,0.49%,1.31%
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,
belveth,37.93%,62.07%,2.69 : 1,3.48 : 1,56.39%,49.40%,"16,274","20,397",37.93%,62.07%,45.48%,51.26%,0.64%,1.95%,0.49%,3.83%
blitzcrank,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,
briar,43.40%,56.60%,3.00 : 1,2.34 : 1,57.12%,52.99%,"17,536","23,577",43.40%,56.60%,45.48%,52.47%,0.64%,3.98%,0.49%,4.31%
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,44.94%,55.06%,3.04 : 1,2.62 : 1,56.80%,52.35%,"17,483","24,876",44.94%,55.06%,45.48%,51.17%,0.64%,5.34%,0.49%,6.02%
drmundo,54.55%,45.45%,3.56 : 1,3.32 : 1,57.29%,54.15%,"21,968","25,581",54.55%,45.45%,45.48%,49.10%,0.64%,1.62%,0.49%,15.18%
draven,,,,,,,,,,,,,,,,
ekko,50.00%,50.00%,3.36 : 1,3.06 : 1,56.52%,53.95%,"18,630","24,531",50.00%,50.00%,45.48%,51.58%,0.64%,6.36%,0.49%,4.77%
elise,52.94%,47.06%,3.41 : 1,2.30 : 1,52.95%,50.19%,"18,270","23,732",52.94%,47.06%,45.48%,50.76%,0.64%,3.31%,0.49%,5.56%
evelynn,48.78%,51.22%,3.07 : 1,3.03 : 1,52.49%,52.14%,"19,657","24,255",48.78%,51.22%,45.48%,51.04%,0.64%,2.69%,0.49%,3.76%
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,35.00%,65.00%,2.74 : 1,3.48 : 1,56.03%,54.21%,"15,505","21,383",35.00%,65.00%,45.48%,52.31%,0.64%,3.04%,0.49%,3.28%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,30.77%,69.23%,3.18 : 1,3.06 : 1,55.81%,48.12%,"18,907","22,859",30.77%,69.23%,45.48%,50.97%,0.64%,1.19%,0.49%,1.66%
graves,44.44%,55.56%,3.31 : 1,2.42 : 1,54.80%,49.58%,"16,531","23,105",44.44%,55.56%,45.48%,49.65%,0.64%,5.70%,0.49%,4.41%
gwen,38.46%,61.54%,2.58 : 1,2.89 : 1,51.22%,51.43%,"15,794","30,802",38.46%,61.54%,45.48%,50.89%,0.64%,1.24%,0.49%,8.42%
hecarim,49.09%,50.91%,3.24 : 1,3.32 : 1,56.14%,56.42%,"18,488","22,481",49.09%,50.91%,45.48%,49.81%,0.64%,4.29%,0.49%,4.67%
heimerdinger,,,,,,,,,,,,,,,,
hwei,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,42.11%,57.89%,2.52 : 1,4.28 : 1,55.62%,60.34%,"14,126","12,009",42.11%,57.89%,45.48%,51.97%,0.64%,1.45%,0.49%,0.83%
janna,,,,,,,,,,,,,,,,
