Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,,,,,
aphelios,49.92%,50.08%,52.25%,47.75%,2.51 : 1,2.11 : 1,49.00%,45.88%,"26,692","26,589","15'59""","15'16""",49.92%,50.08%,51.13%,50.14%,10.09%,8.80%,5.31%,3.16%
ashe,49.36%,50.64%,50.15%,49.85%,2.33 : 1,2.37 : 1,48.32%,49.05%,"26,887","23,055","16'8""","15'45""",49.36%,50.64%,51.13%,50.75%,10.09%,5.79%,5.31%,1.52%
aurelionsol,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,51.35%,48.65%,52.31%,47.69%,2.49 : 1,2.18 : 1,47.47%,44.86%,"27,701","25,240","16'17""","14'49""",51.35%,48.65%,51.13%,49.90%,10.09%,11.09%,5.31%,12.95%
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,
corki,50.58%,49.42%,46.61%,53.39%,2.32 : 1,2.63 : 1,48.85%,48.45%,"27,873","27,390","16'19""","15'12""",50.58%,49.42%,51.13%,49.39%,10.09%,2.33%,5.31%,0.53%
darius,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,
draven,50.16%,49.84%,50.06%,49.94%,2.37 : 1,2.15 : 1,49.84%,47.53%,"27,379","27,072","16'22""","14'59""",50.16%,49.84%,51.13%,49.65%,10.09%,4.14%,5.31%,19.10%
ekko,,,,,,,,,,,,,,,,,,,,
elise,,,,,,,,,,,,,,,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,
ezreal,51.60%,48.40%,47.28%,52.72%,2.37 : 1,2.59 : 1,47.65%,47.12%,"27,786","28,307","16'5""","15'19""",51.60%,48.40%,51.13%,48.35%,10.09%,13.66%,5.31%,4.97%
fiddlesticks,,,,,,,,,,,,,,,,,,,,
fiora,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,,,,,
hwei,45.93%,54.07%,47.77%,52.23%,2.32 : 1,2.94 : 1,48.19%,49.29%,"27,955","28,794","16'57""","15'57""",45.93%,54.07%,51.13%,52.14%,10.09%,0.92%,5.31%,3.21%
illaoi,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,
janna,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,,,,,
