Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,50.00%,50.00%,46.09%,53.91%,2.91 : 1,2.86 : 1,62.04%,56.55%,50.00%,50.00%,52.53%,51.11%,3.15%,6.22%,0.26%,2.62%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,62.79%,37.21%,57.45%,42.55%,3.61 : 1,2.09 : 1,61.74%,51.44%,62.79%,37.21%,52.53%,45.28%,3.15%,0.55%,0.26%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,54.80%,45.20%,47.90%,52.10%,3.19 : 1,3.11 : 1,61.97%,58.30%,54.80%,45.20%,52.53%,51.14%,3.15%,5.51%,0.26%,1.54%
belveth,,,,,,,,,,,,,,,,
blitzcrank,51.60%,48.40%,47.70%,52.30%,2.99 : 1,2.74 : 1,63.13%,54.22%,51.60%,48.40%,52.53%,50.74%,3.15%,4.93%,0.26%,12.49%
brand,57.28%,42.72%,57.14%,42.86%,3.51 : 1,1.98 : 1,61.16%,47.72%,57.28%,42.72%,52.53%,48.83%,3.15%,1.45%,0.26%,1.11%
braum,50.00%,50.00%,45.84%,54.16%,3.05 : 1,3.10 : 1,62.91%,58.84%,50.00%,50.00%,52.53%,52.36%,3.15%,7.99%,0.26%,14.32%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,50.52%,49.48%,46.97%,53.03%,3.00 : 1,2.19 : 1,62.83%,50.92%,50.52%,49.48%,52.53%,52.57%,3.15%,1.59%,0.26%,5.34%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,44.29%,55.71%,56.02%,43.98%,2.84 : 1,2.27 : 1,60.61%,51.08%,44.29%,55.71%,52.53%,51.10%,3.15%,1.01%,0.26%,3.05%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,57.89%,42.11%,54.07%,45.93%,3.48 : 1,2.36 : 1,66.70%,55.62%,57.89%,42.11%,52.53%,50.96%,3.15%,0.60%,0.26%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,65.31%,34.69%,53.02%,46.98%,3.91 : 1,2.14 : 1,58.71%,52.18%,65.31%,34.69%,52.53%,49.03%,3.15%,0.76%,0.26%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,54.16%,45.84%,43.47%,56.53%,3.15 : 1,3.47 : 1,60.91%,58.76%,54.16%,45.84%,52.53%,52.38%,3.15%,4.92%,0.26%,1.64%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,53.87%,46.13%,45.78%,54.22%,3.22 : 1,2.93 : 1,61.45%,55.87%,53.87%,46.13%,52.53%,50.12%,3.15%,9.39%,0.26%,5.31%
