Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,51.81%,48.19%,52.16%,47.84%,2.91 : 1,2.69 : 1,59.48%,56.15%,51.81%,48.19%,51.46%,51.11%,5.27%,6.22%,2.45%,2.62%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,62.50%,37.50%,64.24%,35.76%,3.60 : 1,1.85 : 1,57.85%,48.84%,62.50%,37.50%,51.46%,45.28%,5.27%,0.55%,2.45%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,49.15%,50.85%,48.60%,51.40%,2.75 : 1,3.30 : 1,57.17%,59.59%,49.15%,50.85%,51.46%,51.14%,5.27%,5.51%,2.45%,1.54%
belveth,,,,,,,,,,,,,,,,
blitzcrank,46.83%,53.17%,48.10%,51.90%,2.72 : 1,2.80 : 1,59.42%,52.79%,46.83%,53.17%,51.46%,50.74%,5.27%,4.93%,2.45%,12.49%
brand,48.13%,51.87%,61.99%,38.01%,3.11 : 1,1.96 : 1,57.70%,46.71%,48.13%,51.87%,51.46%,48.83%,5.27%,1.45%,2.45%,1.11%
braum,49.39%,50.61%,48.40%,51.60%,3.00 : 1,3.15 : 1,60.31%,58.04%,49.39%,50.61%,51.46%,52.36%,5.27%,7.99%,2.45%,14.32%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,42.21%,57.79%,49.17%,50.83%,2.60 : 1,2.38 : 1,58.83%,50.15%,42.21%,57.79%,51.46%,52.57%,5.27%,1.59%,2.45%,5.34%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,55.75%,44.25%,60.59%,39.41%,3.33 : 1,2.14 : 1,59.26%,51.54%,55.75%,44.25%,51.46%,51.10%,5.27%,1.01%,2.45%,3.05%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,59.68%,40.32%,54.77%,45.23%,3.30 : 1,2.45 : 1,61.13%,55.59%,59.68%,40.32%,51.46%,50.96%,5.27%,0.60%,2.45%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,48.45%,51.55%,47.37%,52.63%,2.71 : 1,2.53 : 1,53.82%,51.62%,48.45%,51.55%,51.46%,49.03%,5.27%,0.76%,2.45%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,52.11%,47.89%,47.19%,52.81%,2.94 : 1,3.29 : 1,56.12%,58.58%,52.11%,47.89%,51.46%,52.38%,5.27%,4.92%,2.45%,1.64%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,51.75%,48.25%,47.78%,52.22%,2.98 : 1,2.86 : 1,56.96%,55.50%,51.75%,48.25%,51.46%,50.12%,5.27%,9.39%,2.45%,5.31%
