Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,,,,,,
alistar,50.79%,49.21%,53.87%,46.13%,2.65 : 1,2.45 : 1,57.15%,55.33%,50.79%,49.21%,48.63%,51.11%,1.81%,6.22%,0.77%,2.62%
amumu,,,,,,,,,,,,,,,,
anivia,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,
ashe,38.46%,61.54%,39.00%,61.00%,2.17 : 1,3.13 : 1,55.77%,53.40%,38.46%,61.54%,48.63%,45.28%,1.81%,0.55%,0.77%,1.33%
aurelionsol,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,,,,,,
bard,46.98%,53.02%,44.42%,55.58%,2.21 : 1,3.16 : 1,53.81%,57.81%,46.98%,53.02%,48.63%,51.14%,1.81%,5.51%,0.77%,1.54%
belveth,,,,,,,,,,,,,,,,
blitzcrank,48.40%,51.60%,47.84%,52.16%,2.43 : 1,2.52 : 1,57.30%,52.97%,48.40%,51.60%,48.63%,50.74%,1.81%,4.93%,0.77%,12.49%
brand,45.57%,54.43%,56.47%,43.53%,2.33 : 1,1.84 : 1,50.06%,45.18%,45.57%,54.43%,48.63%,48.83%,1.81%,1.45%,0.77%,1.11%
braum,51.06%,48.94%,46.38%,53.62%,2.51 : 1,2.94 : 1,56.63%,60.16%,51.06%,48.94%,48.63%,52.36%,1.81%,7.99%,0.77%,14.32%
briar,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,
corki,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,
diana,,,,,,,,,,,,,,,,
drmundo,,,,,,,,,,,,,,,,
draven,,,,,,,,,,,,,,,,
ekko,,,,,,,,,,,,,,,,
elise,33.96%,66.04%,43.60%,56.40%,2.30 : 1,2.43 : 1,57.35%,51.14%,33.96%,66.04%,48.63%,52.57%,1.81%,1.59%,0.77%,5.34%
evelynn,,,,,,,,,,,,,,,,
ezreal,,,,,,,,,,,,,,,,
fiddlesticks,38.46%,61.54%,47.74%,52.26%,2.14 : 1,2.47 : 1,52.57%,49.08%,38.46%,61.54%,48.63%,51.10%,1.81%,1.01%,0.77%,3.05%
fiora,,,,,,,,,,,,,,,,
fizz,,,,,,,,,,,,,,,,
galio,40.00%,60.00%,49.11%,50.89%,2.20 : 1,3.08 : 1,54.87%,55.95%,40.00%,60.00%,48.63%,50.96%,1.81%,0.60%,0.77%,2.77%
gangplank,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,
gwen,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,
heimerdinger,,,,,,,,,,,,,,,,
hwei,40.00%,60.00%,42.19%,57.81%,1.85 : 1,2.95 : 1,52.41%,57.52%,40.00%,60.00%,48.63%,49.03%,1.81%,0.76%,0.77%,3.26%
illaoi,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,
janna,44.83%,55.17%,41.24%,58.76%,2.18 : 1,3.54 : 1,52.30%,60.03%,44.83%,55.17%,48.63%,52.38%,1.81%,4.92%,0.77%,1.64%
jarvaniv,,,,,,,,,,,,,,,,
jax,,,,,,,,,,,,,,,,
jayce,,,,,,,,,,,,,,,,
jhin,,,,,,,,,,,,,,,,
jinx,,,,,,,,,,,,,,,,
kaisa,,,,,,,,,,,,,,,,
kalista,,,,,,,,,,,,,,,,
karma,45.36%,54.64%,44.83%,55.17%,2.19 : 1,2.99 : 1,51.91%,57.51%,45.36%,54.64%,48.63%,50.12%,1.81%,9.39%,0.77%,5.31%
