Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,51.67%,48.33%,48.91%,51.09%,2.19 : 1,2.45 : 1,46.39%,47.22%,"22,865","24,305","18'2""","16'42""",51.67%,48.33%,50.35%,49.43%,9.58%,7.97%,10.10%,2.84%
akali,51.54%,48.46%,45.37%,54.63%,1.95 : 1,2.31 : 1,45.30%,45.58%,"23,883","27,340","17'56""","17'37""",51.54%,48.46%,50.35%,50.95%,9.58%,6.64%,10.10%,10.17%
akshan,51.31%,48.69%,48.83%,51.17%,2.13 : 1,2.44 : 1,46.68%,50.47%,"22,796","27,159","17'47""","16'55""",51.31%,48.69%,50.35%,52.43%,9.58%,2.44%,10.10%,3.52%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,49.32%,50.68%,43.74%,56.26%,2.02 : 1,2.67 : 1,45.32%,45.10%,"22,777","21,075","17'19""","16'17""",49.32%,50.68%,50.35%,52.50%,9.58%,2.22%,10.10%,1.85%
annie,47.05%,52.95%,50.35%,49.65%,2.09 : 1,2.23 : 1,47.55%,48.57%,"22,132","25,714","17'11""","17'55""",47.05%,52.95%,50.35%,51.88%,9.58%,2.79%,10.10%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,50.67%,49.33%,57.13%,42.87%,2.35 : 1,2.48 : 1,46.70%,50.44%,"24,823","24,488","16'45""","19'31""",50.67%,49.33%,50.35%,51.05%,9.58%,2.10%,10.10%,0.64%
azir,52.44%,47.56%,54.09%,45.91%,2.35 : 1,1.90 : 1,46.47%,42.10%,"22,895","25,760","17'53""","16'47""",52.44%,47.56%,50.35%,47.22%,9.58%,2.75%,10.10%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,46.10%,53.90%,54.05%,45.95%,2.10 : 1,2.01 : 1,47.39%,44.38%,"23,090","25,649","18'0""","17'14""",46.10%,53.90%,50.35%,51.12%,9.58%,1.25%,10.10%,1.23%
