Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
aatrox,,,,,,,,,,,,,,,,,,,,
ahri,50.71%,49.29%,46.08%,53.92%,2.25 : 1,2.59 : 1,44.26%,45.54%,"25,397","21,916","17'26""","17'57""",50.71%,49.29%,50.83%,49.43%,5.42%,7.97%,4.04%,2.84%
akali,48.21%,51.79%,42.76%,57.24%,2.14 : 1,2.56 : 1,42.89%,44.03%,"24,774","23,671","17'18""","18'7""",48.21%,51.79%,50.83%,50.95%,5.42%,6.64%,4.04%,10.17%
akshan,48.79%,51.21%,49.00%,51.00%,2.37 : 1,2.33 : 1,44.45%,47.47%,"23,316","23,778","17'9""","17'45""",48.79%,51.21%,50.83%,52.43%,5.42%,2.44%,4.04%,3.52%
alistar,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,
anivia,50.37%,49.63%,42.77%,57.23%,2.28 : 1,2.67 : 1,44.33%,43.43%,"26,678","20,538","18'10""","17'49""",50.37%,49.63%,50.83%,52.50%,5.42%,2.22%,4.04%,1.85%
annie,53.99%,46.01%,50.96%,49.04%,2.32 : 1,2.07 : 1,44.33%,44.45%,"24,320","22,505","16'22""","19'12""",53.99%,46.01%,50.83%,51.88%,5.42%,2.79%,4.04%,1.16%
aphelios,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,,,,,,
aurelionsol,48.40%,51.60%,49.42%,50.58%,2.33 : 1,2.68 : 1,44.52%,50.98%,"25,781","25,535","16'41""","19'15""",48.40%,51.60%,50.83%,51.05%,5.42%,2.10%,4.04%,0.64%
azir,53.15%,46.85%,50.99%,49.01%,2.54 : 1,1.91 : 1,45.34%,40.38%,"25,973","22,071","17'1""","17'35""",53.15%,46.85%,50.83%,47.22%,5.42%,2.75%,4.04%,0.54%
bard,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,
briar,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,
cassiopeia,50.46%,49.54%,57.48%,42.52%,2.63 : 1,1.82 : 1,44.59%,39.73%,"25,515","20,212","16'42""","18'25""",50.46%,49.54%,50.83%,51.12%,5.42%,1.25%,4.04%,1.23%
